Action,PO ID,Handover Window Start Date,Handover Window End Date,Expected Handover Date
Cancel,500033392218,,,
Cancel,500033392493,,,
Cancel,500033351446,,,
Cancel,500033365042,,,
Cancel,500033304085,,,
Cancel,500033304089,,,
Cancel,500033304103,,,
Cancel,500032595426,,,
Cancel,500033213598,,,
Cancel,500033485750,,,
Cancel,500033496916,,,
Cancel,500032876454,,,
Cancel,500032876689,,,
Cancel,500032832889,,,
Update,500033440948,27/10/2026,10/12/2026,08/11/2026
Update,500033440970,27/10/2026,10/12/2026,08/11/2026
Update,500032512427,27/10/2026,10/12/2026,08/11/2026
Update,500032512435,27/10/2026,10/12/2026,08/11/2026
Update,500033000637,27/10/2026,10/12/2026,08/11/2026
Update,500033000649,27/10/2026,10/12/2026,08/11/2026
Update,500033000656,27/10/2026,10/12/2026,08/11/2026
Update,500032039340,27/10/2026,10/12/2026,08/11/2026
Update,500033302426,27/10/2026,10/12/2026,08/11/2026
Update,500033302433,27/10/2026,10/12/2026,08/11/2026
Update,500033333402,27/10/2026,10/12/2026,08/11/2026
Update,500033333405,27/10/2026,10/12/2026,08/11/2026
Update,500033229157,27/10/2026,10/12/2026,08/11/2026
Update,500033458159,27/10/2026,10/12/2026,08/11/2026
Update,500033173259,27/10/2026,10/12/2026,08/11/2026
Update,500032998650,27/10/2026,10/12/2026,08/11/2026
Update,500033183457,27/10/2026,10/12/2026,08/11/2026
Update,500033268951,27/10/2026,10/12/2026,08/11/2026
Update,500033283772,27/10/2026,10/12/2026,08/11/2026
Update,500033294044,27/10/2026,10/12/2026,08/11/2026
Update,500032990908,27/10/2026,10/12/2026,08/11/2026
Update,500032990911,27/10/2026,10/12/2026,08/11/2026
Update,500032990970,27/10/2026,10/12/2026,08/11/2026
Update,500032991045,27/10/2026,10/12/2026,08/11/2026
Update,500032991067,27/10/2026,10/12/2026,08/11/2026
Update,500032991081,27/10/2026,10/12/2026,08/11/2026
Update,500032991086,27/10/2026,10/12/2026,08/11/2026
Update,500032647764,27/10/2026,10/12/2026,08/11/2026
Update,500033476775,27/10/2026,10/12/2026,08/11/2026
Update,500032920908,27/10/2026,10/12/2026,08/11/2026
Update,500033046744,27/10/2026,10/12/2026,08/11/2026
Update,500032780548,27/10/2026,10/12/2026,08/11/2026
Update,500033422523,27/10/2026,10/12/2026,08/11/2026
Update,500033015824,27/10/2026,10/12/2026,08/11/2026
