Action,PO ID,Handover Window Start Date,Handover Window End Date,Expected Handover Date
Cancel,500032491612,,,
Cancel,500032491650,,,
Cancel,500032491663,,,
Cancel,500032491676,,,
Cancel,500032491687,,,
Cancel,500032491725,,,
Cancel,500033302824,,,
Cancel,500032860602,,,
Cancel,500033043321,,,
Cancel,500033321877,,,
Cancel,500033316377,,,
Cancel,500033112312,,,
Cancel,500033115812,,,
Cancel,500033115816,,,
Update,500033115843,27/10/2026,10/12/2026,08/11/2026
Update,500033115879,27/10/2026,10/12/2026,08/11/2026
Update,500033115903,27/10/2026,10/12/2026,08/11/2026
Update,500033115918,27/10/2026,10/12/2026,08/11/2026
Update,500033115964,27/10/2026,10/12/2026,08/11/2026
Update,500033313135,27/10/2026,10/12/2026,08/11/2026
Update,500033313182,27/10/2026,10/12/2026,08/11/2026
Update,500033313184,27/10/2026,10/12/2026,08/11/2026
Update,500033341901,27/10/2026,10/12/2026,08/11/2026
Update,500032861186,27/10/2026,10/12/2026,08/11/2026
Update,500032861227,27/10/2026,10/12/2026,08/11/2026
Update,500032861269,27/10/2026,10/12/2026,08/11/2026
Update,500032989816,27/10/2026,10/12/2026,08/11/2026
Update,500032928624,27/10/2026,10/12/2026,08/11/2026
Update,500032747272,27/10/2026,10/12/2026,08/11/2026
Update,500033115977,27/10/2026,10/12/2026,08/11/2026
Update,500033115989,27/10/2026,10/12/2026,08/11/2026
Update,500033116008,27/10/2026,10/12/2026,08/11/2026
Update,500033116012,27/10/2026,10/12/2026,08/11/2026
Update,500033338447,27/10/2026,10/12/2026,08/11/2026
Update,500033175152,27/10/2026,10/12/2026,08/11/2026
Update,500032997071,27/10/2026,10/12/2026,08/11/2026
Update,500033266535,27/10/2026,10/12/2026,08/11/2026
Update,500033266538,27/10/2026,10/12/2026,08/11/2026
Update,500033353455,27/10/2026,10/12/2026,08/11/2026
Update,500033353471,27/10/2026,10/12/2026,08/11/2026
Update,500033182249,27/10/2026,10/12/2026,08/11/2026
Update,500033182260,27/10/2026,10/12/2026,08/11/2026
Update,500033482574,27/10/2026,10/12/2026,08/11/2026
Update,500032664567,27/10/2026,10/12/2026,08/11/2026
Update,500032804004,27/10/2026,10/12/2026,08/11/2026
Update,500032879792,27/10/2026,10/12/2026,08/11/2026
Update,500032879819,27/10/2026,10/12/2026,08/11/2026
Update,500032282085,27/10/2026,10/12/2026,08/11/2026
Update,500032323120,27/10/2026,10/12/2026,08/11/2026
