Action,PO ID,Handover Window Start Date,Handover Window End Date,Expected Handover Date
Cancel,500033493392,,,
Cancel,500033055874,,,
Cancel,500033106417,,,
Cancel,500033326250,,,
Cancel,500033498773,,,
Cancel,500033498776,,,
Cancel,500033024233,,,
Cancel,500033024276,,,
Cancel,500033024301,,,
Cancel,500033024328,,,
Cancel,500033024342,,,
Cancel,500033030908,,,
Cancel,500033042694,,,
Cancel,500033213131,,,
Update,500033523923,27/10/2026,10/12/2026,08/11/2026
Update,500033397916,27/10/2026,10/12/2026,08/11/2026
Update,500032178993,27/10/2026,10/12/2026,08/11/2026
Update,500033403366,27/10/2026,10/12/2026,08/11/2026
Update,500033403371,27/10/2026,10/12/2026,08/11/2026
Update,500033403386,27/10/2026,10/12/2026,08/11/2026
Update,500033403686,27/10/2026,10/12/2026,08/11/2026
Update,500033130980,27/10/2026,10/12/2026,08/11/2026
Update,500033130984,27/10/2026,10/12/2026,08/11/2026
Update,500033290418,27/10/2026,10/12/2026,08/11/2026
Update,500033081175,27/10/2026,10/12/2026,08/11/2026
Update,500033308158,27/10/2026,10/12/2026,08/11/2026
Update,500033442207,27/10/2026,10/12/2026,08/11/2026
Update,500033339315,27/10/2026,10/12/2026,08/11/2026
Update,500033200696,27/10/2026,10/12/2026,08/11/2026
Update,500033206427,27/10/2026,10/12/2026,08/11/2026
Update,500033112507,27/10/2026,10/12/2026,08/11/2026
Update,500033250328,27/10/2026,10/12/2026,08/11/2026
Update,500033043189,27/10/2026,10/12/2026,08/11/2026
Update,500033043202,27/10/2026,10/12/2026,08/11/2026
Update,500033259328,27/10/2026,10/12/2026,08/11/2026
Update,500033259327,27/10/2026,10/12/2026,08/11/2026
Update,500032882249,27/10/2026,10/12/2026,08/11/2026
Update,500033185417,27/10/2026,10/12/2026,08/11/2026
Update,500033306107,27/10/2026,10/12/2026,08/11/2026
Update,500033304350,27/10/2026,10/12/2026,08/11/2026
Update,500032324776,27/10/2026,10/12/2026,08/11/2026
Update,500032337366,27/10/2026,10/12/2026,08/11/2026
Update,500032672596,27/10/2026,10/12/2026,08/11/2026
Update,500032804191,27/10/2026,10/12/2026,08/11/2026
Update,500033043262,27/10/2026,10/12/2026,08/11/2026
Update,500033043268,27/10/2026,10/12/2026,08/11/2026
Update,500033043293,27/10/2026,10/12/2026,08/11/2026
Update,500032491507,27/10/2026,10/12/2026,08/11/2026
Update,500032491618,27/10/2026,10/12/2026,08/11/2026
