ACTION,Option ID,UDA ID,UDA Value
NEW,132542795,9,1
NEW,132542795,13,1
NEW,132542795,32,1
NEW,132542795,33,1
NEW,132542795,34,1
NEW,132542795,35,1
NEW,132542795,47,1
NEW,132542795,48,1
NEW,132542795,52,1
NEW,132542795,105,1
NEW,132542806,9,1
NEW,132542806,13,1
NEW,132542806,32,1
NEW,132542806,33,1
NEW,132542806,34,1
NEW,132542806,35,1
NEW,132542806,47,1
NEW,132542806,48,1
NEW,132542806,52,1
NEW,132542806,105,1
NEW,132542817,9,1
NEW,132542817,13,1
NEW,132542817,32,1
NEW,132542817,33,1
NEW,132542817,34,1
NEW,132542817,35,1
NEW,132542817,47,1
NEW,132542817,48,1
NEW,132542817,52,1
NEW,132542817,105,1
NEW,132543990,9,1
NEW,132543990,13,1
NEW,132543990,32,1
NEW,132543990,33,1
NEW,132543990,34,1
NEW,132543990,35,1
NEW,132543990,47,1
NEW,132543990,48,1
NEW,132543990,52,1
NEW,132543990,105,1
NEW,132544001,9,1
NEW,132544001,13,1
NEW,132544001,32,1
NEW,132544001,33,1
NEW,132544001,34,1
NEW,132544001,35,1
NEW,132544001,47,1
NEW,132544001,48,1
NEW,132544001,52,1
NEW,132544001,105,1
NEW,132544112,9,1
NEW,132544112,13,1
NEW,132544112,32,1
NEW,132544112,33,1
NEW,132544112,34,1
NEW,132544112,35,1
NEW,132544112,47,1
NEW,132544112,48,1
NEW,132544112,52,1
NEW,132544112,105,1
NEW,132544113,9,1
NEW,132544113,13,1
NEW,132544113,32,1
NEW,132544113,33,1
NEW,132544113,34,1
NEW,132544113,35,1
NEW,132544113,47,1
NEW,132544113,48,1
NEW,132544113,52,1
NEW,132544113,105,1
NEW,132544156,9,1
NEW,132544156,13,1
NEW,132544156,32,1
NEW,132544156,33,1
NEW,132544156,34,1
NEW,132544156,35,1
NEW,132544156,47,1
NEW,132544156,48,1
NEW,132544156,52,1
NEW,132544156,105,1
NEW,132544191,9,1
NEW,132544191,13,1
NEW,132544191,32,1
NEW,132544191,33,1
NEW,132544191,34,1
NEW,132544191,35,1
NEW,132544191,47,1
NEW,132544191,48,1
NEW,132544191,52,1
NEW,132544191,105,1
NEW,132544192,9,1
NEW,132544192,13,1
NEW,132544192,32,1
NEW,132544192,33,1
NEW,132544192,34,1
NEW,132544192,35,1
NEW,132544192,47,1
NEW,132544192,48,1
NEW,132544192,52,1
NEW,132544192,105,1
NEW,132544193,9,1
NEW,132544193,13,1
NEW,132544193,32,1
NEW,132544193,33,1
NEW,132544193,34,1
NEW,132544193,35,1
NEW,132544193,47,1
NEW,132544193,48,1
NEW,132544193,52,1
NEW,132544193,105,1
NEW,132544196,9,1
NEW,132544196,13,1
NEW,132544196,32,1
NEW,132544196,33,1
NEW,132544196,34,1
NEW,132544196,35,1
NEW,132544196,47,1
NEW,132544196,48,1
NEW,132544196,52,1
NEW,132544196,105,1
NEW,132546253,9,1
NEW,132546253,13,1
NEW,132546253,32,1
NEW,132546253,33,1
NEW,132546253,34,1
NEW,132546253,35,1
NEW,132546253,47,1
NEW,132546253,48,1
NEW,132546253,52,1
NEW,132546253,105,1
NEW,132546555,9,1
NEW,132546555,13,1
NEW,132546555,32,1
NEW,132546555,33,1
NEW,132546555,34,1
NEW,132546555,35,1
NEW,132546555,47,1
NEW,132546555,48,1
NEW,132546555,52,1
NEW,132546555,105,1
NEW,132546644,9,1
NEW,132546644,13,1
NEW,132546644,32,1
NEW,132546644,33,1
NEW,132546644,34,1
NEW,132546644,35,1
NEW,132546644,47,1
NEW,132546644,48,1
NEW,132546644,52,1
NEW,132546644,105,1
NEW,132546645,9,1
NEW,132546645,13,1
NEW,132546645,32,1
NEW,132546645,33,1
NEW,132546645,34,1
NEW,132546645,35,1
NEW,132546645,47,1
NEW,132546645,48,1
NEW,132546645,52,1
NEW,132546645,105,1
NEW,132546814,9,1
NEW,132546814,13,1
