Registered MID code,FACTORY ID,COUNTRY OF MANUFACTURE/ORIGIN (COM/COO)
TROZDTEK319IST,,TR
BDDELGARDHA,,BD
PTCONLDA201LOR,,PT
BDDESPRI4849CHI,,BD
CNZHECHACHA,,CN
BDDNVCLO1001NAR,,BD
ITATHCAL90CAS,,IT
INBHAINT103JAI,,IN
BDEKRSWEBHA,,BD
BDELEFAS11KHI,,BD
CNTAIBAOTAI,,CN
BDEPYSTYDHA,,BD
CNJIUCAI1JIA,,CN
BDFLAFASGAZ,,BD
BDGENFAS1261GAZ,,BD
BDGOORICDHA,,BD
BDGLOGAR11CHI,,BD
CNSHAKANSHA,,CN
BDGRESMAGAZ,,BD
BDHABFASGAJ,,BD
BDHBFAS590CHI,,BD
BDHONKON26HIT,,BD
BDHOPLUN03DHA,,BD
BDHOPLUN3GAZ,,BD
AEGBXTRA1803JEB,,AE
AEYOUBOYUMM,,AE
TRKENSPO64IST,,TR
VNYIFEN4DONVNPHAINVQUI,,VN
TRSAVDEL50IST,,TR
BD162ND04DHA,,BD
BDAKMKNI14SAV,,BD
BDAMAGRA1340DHA,,BD
BDANAGARDHA,,BD
TRSTITEK19IST,,TR
INMSAGP641TIR,,IN
BDAONPOLNAR,,BD
TRISTANK3840IST,,TR
BDAPETEX99DHA,,BD
BDAPPPRO1206CHI,,BD
BDAPSHOL584GAZ,,BD
BDAPTCAS30GAZ,,BD
BDAUKTEXGAZ,,BD
BDBABGAR1216DHA,,BD
BDBDDES49CHI,,BD
BDBELTEXCHI,,BD
PKSHAENT99FAI,,PK
BDBILRES171GAZ,,BD
CNWANFOO888DON,,CN
BDCHEINT105DHA,,BD
BDTAMFAS247TON,,BD
CNMEISHOSHA,,CN
BDCONGARSAV,,BD
BDCONKNI11MYM,,BD
BDCOTCLUGAZ,,BD
BDCOTFIE23GAZ,,BD
BDCREWOO3DHA,,BD
BDCROEXCGAZ,,BD
BDTJSWE1712TON,,BD
BDULTFASDHA,,BD
TRALPCOR47IST,,TR
INMAFKNI641TIR,,IN
BDVINGARDHA,,BD
TRCENTEK18IST,,TR
BDWINAPP140DHA,,BD
BDWOOWOOGAZ,,BD
BDWUCFASDHA,,BD
VNBACGIA349BAC,,VN
CNOSRASI1FOS,,CN
BDYOUHI14DHA,,BD
CNNINSAN5175NIN,,CN
BDZZINT13CHA,,BD
BGABO56RAZ,,BG
CNHAIWEI5JIA,,CN
BGBALLTD77BLA,,BG
BGBELLTD1PET,,BG
CNFOSSHU18FOS,,CN
BGCONCOMKAR,,BG
CNDISHK438PUD,,CN
TNFASPOI14HAM,,TN
BGGV0144BLA,,BG
BGKATTEX2308SOF,,BG
TROZTEK2OSM,,TR
CNLAIYIHLAI,,CN
TRSISTEK5BUR,,TR
BGSUPBUL1PER,,BG
BGVAIMOL25GOT,,BG
BGVOIFAS2726BLA,,BG
BGYUMSIN5BLA,,BG
IDDOOJAY6SUK,,ID
GBGUMUKNOR,,GB
PKKAMLTD22LAH,,PK
INMIRINTUTA,,IN
CNINTTRA1618XIA,,CN
GBECLLIFCHE,,GB
BDIMPFAS2224DHA,,BD
BDINTAPP1619JOY,,BD
BDINTAPP9193CHI,,BD
CNWENCOF313WEN,,CN
TRKEVTEK27IST,,TR
ITCALCRI7612BAR,,IT
BDJAMDES1893DHA,,BD
BDJARIND132GAZ,,BD
BDJEA20067CHA,,BD
BDJINKNI1349GAZ,,BD
MAAYM5653FES,,MA
BDJMSGAR14CHI,,BD
BDKARSHO1ANO,,BD
INKARNIR83PRA,,IN
BDKENBAN3537CHI,,BD
CNHIPLIK3LON,,CN
BDKNIGAR1617NAR,,BD
INBHAENT110NEW,,IN
BDLAVGARDHA,,BD
HKWOLLIN910KOW,,HK
BDMAGKNI141ZIR,,BD
BDMAHFASDHA,,BD
BDMAHFASGAZ,,BD
BDMAJGAR1131GAZ,,BD
INRENEXP723GUR,,IN
THTHAPRO587BAN,,TH
BDMAYAPP323DHA,,BD
MKBANSCOSTI,,MK
BDMEDIND912GAZ,,BD
TRPROTEX6BAG,,TR
BDMEGKNIGAZ,,BD
BDCROEXCSRE,,BD
BDMICTEX23DHA,,BD
BDMIMDESGAZ,,BD
BDMOHKNI1GAZ,,BD
BDMOZKNI1000SAV,,BD
BDNABKNIDAK,,BD
BDNATDEN532DHA,,BD
CNXIAZHU1204XIA,,CN
BDNEWERA4223CHI,,BD
BDOLDTOWNAR,,BD
BDOLDTOWSID,,BD
BDORIALL1712GAZ,,BD
BDPENFORDHA,,BD
BDPINGAR09TON,,BD
BDPLONOGAZ,,BD
INAKRTES1410NER,,IN
BDPRMFAS5CHI,,BD
BDPROAPP1431NAR,,BD
BDPROAPP2NAR,,BD
BDPROAPP888DHA,,BD
BDRADINTGAZ,,BD
BDRAZAPP51NAR,,BD
