ACTION,Option ID,UDA ID,UDA Value
NEW,132586771,9,1
NEW,132586771,13,1
NEW,132586771,32,1
NEW,132586771,33,1
NEW,132586771,34,1
NEW,132586771,35,1
NEW,132586771,47,1
NEW,132586771,48,1
NEW,132586771,52,1
NEW,132586771,105,1
NEW,132586863,9,1
NEW,132586863,13,1
NEW,132586863,32,1
NEW,132586863,33,1
NEW,132586863,34,1
NEW,132586863,35,1
NEW,132586863,47,1
NEW,132586863,48,1
NEW,132586863,52,1
NEW,132586863,105,1
NEW,132588553,9,1
NEW,132588553,13,1
NEW,132588553,32,1
NEW,132588553,33,1
NEW,132588553,34,1
NEW,132588553,35,1
NEW,132588553,47,1
NEW,132588553,48,1
NEW,132588553,52,1
NEW,132588553,105,1
NEW,132588737,9,1
NEW,132588737,13,1
NEW,132588737,32,1
NEW,132588737,33,1
NEW,132588737,34,1
NEW,132588737,35,1
NEW,132588737,47,1
NEW,132588737,48,1
NEW,132588737,52,1
NEW,132588737,105,1
NEW,132588772,9,1
NEW,132588772,13,1
NEW,132588772,32,1
NEW,132588772,33,1
NEW,132588772,34,1
NEW,132588772,35,1
NEW,132588772,47,1
NEW,132588772,48,1
NEW,132588772,52,1
NEW,132588772,105,1
NEW,132589161,9,1
NEW,132589161,13,1
NEW,132589161,32,1
NEW,132589161,33,1
NEW,132589161,34,1
NEW,132589161,35,1
NEW,132589161,47,1
NEW,132589161,48,1
NEW,132589161,52,1
NEW,132589161,105,1
NEW,132589608,9,1
NEW,132589608,13,1
NEW,132589608,32,1
NEW,132589608,33,1
NEW,132589608,34,1
NEW,132589608,35,1
NEW,132589608,47,1
NEW,132589608,48,1
NEW,132589608,52,1
NEW,132589608,105,1
NEW,132589747,9,1
NEW,132589747,13,1
NEW,132589747,32,1
NEW,132589747,33,1
NEW,132589747,34,1
NEW,132589747,35,1
NEW,132589747,47,1
NEW,132589747,48,1
NEW,132589747,52,1
NEW,132589747,105,1
NEW,132590656,9,1
NEW,132590656,13,1
NEW,132590656,32,1
NEW,132590656,33,1
NEW,132590656,34,1
NEW,132590656,35,1
NEW,132590656,47,1
NEW,132590656,48,1
NEW,132590656,52,1
NEW,132590656,105,1
NEW,132590904,9,1
NEW,132590904,13,1
NEW,132590904,32,1
NEW,132590904,33,1
NEW,132590904,34,1
NEW,132590904,35,1
NEW,132590904,47,1
NEW,132590904,48,1
NEW,132590904,52,1
NEW,132590904,105,1
NEW,132590906,9,1
NEW,132590906,13,1
NEW,132590906,32,1
NEW,132590906,33,1
NEW,132590906,34,1
NEW,132590906,35,1
NEW,132590906,47,1
NEW,132590906,48,1
NEW,132590906,52,1
NEW,132590906,105,1
NEW,132590962,9,1
NEW,132590962,13,1
NEW,132590962,32,1
NEW,132590962,33,1
NEW,132590962,34,1
NEW,132590962,35,1
NEW,132590962,47,1
NEW,132590962,48,1
NEW,132590962,52,1
NEW,132590962,105,1
NEW,132590974,9,1
NEW,132590974,13,1
NEW,132590974,32,1
NEW,132590974,33,1
NEW,132590974,34,1
NEW,132590974,35,1
NEW,132590974,47,1
NEW,132590974,48,1
NEW,132590974,52,1
NEW,132590974,105,1
NEW,132590977,9,1
NEW,132590977,13,1
NEW,132590977,32,1
NEW,132590977,33,1
NEW,132590977,34,1
NEW,132590977,35,1
NEW,132590977,47,1
NEW,132590977,48,1
NEW,132590977,52,1
NEW,132590977,105,1
NEW,132590986,9,1
NEW,132590986,13,1
NEW,132590986,32,1
NEW,132590986,33,1
NEW,132590986,34,1
NEW,132590986,35,1
NEW,132590986,47,1
NEW,132590986,48,1
NEW,132590986,52,1
NEW,132590986,105,1
NEW,132592538,9,1
NEW,132592538,13,1
NEW,132592538,32,1
NEW,132592538,33,1
NEW,132592538,34,1
NEW,132592538,35,1
NEW,132592538,47,1
NEW,132592538,48,1
NEW,132592538,52,1
NEW,132592538,105,1
NEW,132604954,9,1
NEW,132604954,13,1
NEW,132604954,32,1
NEW,132604954,33,1
NEW,132604954,34,1
NEW,132604954,35,1
NEW,132604954,47,1
NEW,132604954,48,1
NEW,132604954,52,1
NEW,132604954,105,1
NEW,132605099,9,1
NEW,132605099,13,1
NEW,132605099,32,1
NEW,132605099,33,1
NEW,132605099,34,1
NEW,132605099,35,1
NEW,132605099,47,1
NEW,132605099,48,1
NEW,132605099,52,1
NEW,132605099,105,1
NEW,132606132,9,1
NEW,132606132,13,1
NEW,132606132,32,1
NEW,132606132,33,1
NEW,132606132,34,1
NEW,132606132,35,1
NEW,132606132,47,1
NEW,132606132,48,1
NEW,132606132,52,1
NEW,132606132,105,1
NEW,132606183,9,1
NEW,132606183,13,1
NEW,132606183,32,1
NEW,132606183,33,1
NEW,132606183,34,1
NEW,132606183,35,1
NEW,132606183,47,1
NEW,132606183,48,1
NEW,132606183,52,1
NEW,132606183,105,1
NEW,132606256,9,1
NEW,132606256,13,1
NEW,132606256,32,1
NEW,132606256,33,1
NEW,132606256,34,1
NEW,132606256,35,1
NEW,132606256,47,1
NEW,132606256,48,1
NEW,132606256,52,1
NEW,132606256,105,1
NEW,132606276,9,1
NEW,132606276,13,1
NEW,132606276,32,1
NEW,132606276,33,1
NEW,132606276,34,1
NEW,132606276,35,1
NEW,132606276,47,1
NEW,132606276,48,1
NEW,132606276,52,1
NEW,132606276,105,1
NEW,132606280,9,1
NEW,132606280,13,1
NEW,132606280,32,1
NEW,132606280,33,1
NEW,132606280,34,1
NEW,132606280,35,1
NEW,132606280,47,1
NEW,132606280,48,1
NEW,132606280,52,1
NEW,132606280,105,1
NEW,132607168,9,1
NEW,132607168,13,1
NEW,132607168,32,1
NEW,132607168,33,1
NEW,132607168,34,1
NEW,132607168,35,1
NEW,132607168,47,1
NEW,132607168,48,1
NEW,132607168,52,1
NEW,132607168,105,1
NEW,132607391,9,1
NEW,132607391,13,1
NEW,132607391,32,1
NEW,132607391,33,1
NEW,132607391,34,1
NEW,132607391,35,1
NEW,132607391,47,1
NEW,132607391,48,1
NEW,132607391,52,1
NEW,132607391,105,1
NEW,132373683,9,1
NEW,132373683,13,1
NEW,132373683,32,1
NEW,132373683,33,1
NEW,132373683,34,1
NEW,132373683,35,1
NEW,132373683,47,1
NEW,132373683,48,1
NEW,132373683,52,1
NEW,132373683,105,1
NEW,132373923,9,1
NEW,132373923,13,1
NEW,132373923,32,1
NEW,132373923,33,1
NEW,132373923,34,1
NEW,132373923,35,1
NEW,132373923,47,1
NEW,132373923,48,1
NEW,132373923,52,1
