Buying Group ID ,PO Number,ASN Handover Date,OVERRIDE IND
421,500035571705,15/01/2026,
421,500035571706,15/01/2026,
421,500035571707,15/01/2026,
421,500035571708,15/01/2026,
421,500035571697,15/01/2026,
421,500035571698,15/01/2026,
421,500035571699,15/01/2026,
421,500035571700,15/01/2026,
421,500035571701,15/01/2026,
421,500035571702,15/01/2026,
421,500035571691,15/01/2026,
421,500035571692,15/01/2026,
421,500035571693,15/01/2026,
421,500035571694,15/01/2026,
421,500035571695,15/01/2026,
421,500035571696,15/01/2026,
421,500035571688,15/01/2026,
421,500035571689,15/01/2026,
421,500035571690,15/01/2026,
421,500035571685,15/01/2026,
421,500035571686,15/01/2026,
421,500035571687,15/01/2026,
421,500035571673,15/01/2026,
421,500035571674,15/01/2026,
421,500035571675,15/01/2026,
421,500035571670,15/01/2026,
421,500035571671,15/01/2026,
421,500035571672,15/01/2026,
421,500035571676,15/01/2026,
421,500035571677,15/01/2026,
421,500035571678,15/01/2026,
421,500035571682,15/01/2026,
421,500035571683,15/01/2026,
421,500035571684,15/01/2026,
421,500035571679,15/01/2026,
421,500035571680,15/01/2026,
421,500035571681,15/01/2026,
421,500035571667,15/01/2026,
421,500035571668,15/01/2026,
421,500035571669,15/01/2026,
421,500035571661,15/01/2026,
421,500035571662,15/01/2026,
421,500035571663,15/01/2026,
421,500035571664,15/01/2026,
421,500035571665,15/01/2026,
421,500035571666,15/01/2026,
421,500035571649,15/01/2026,
421,500035571650,15/01/2026,
421,500035571651,15/01/2026,
421,500035571655,15/01/2026,
421,500035571656,15/01/2026,
421,500035571657,15/01/2026,
421,500035571652,15/01/2026,
421,500035571653,15/01/2026,
421,500035571654,15/01/2026,
421,500035571658,15/01/2026,
421,500035571659,15/01/2026,
421,500035571660,15/01/2026,
421,500035571646,15/01/2026,
421,500035571647,15/01/2026,
421,500035571648,15/01/2026,
421,500035571643,15/01/2026,
421,500035571644,15/01/2026,
421,500035571645,15/01/2026,
421,500035571640,15/01/2026,
421,500035571641,15/01/2026,
421,500035571642,15/01/2026,
421,500035571634,15/01/2026,
421,500035571635,15/01/2026,
421,500035571636,15/01/2026,
421,500035571637,15/01/2026,
421,500035571638,15/01/2026,
421,500035571639,15/01/2026,
421,500035571631,15/01/2026,
421,500035571632,15/01/2026,
421,500035571633,15/01/2026,
421,500035571628,15/01/2026,
421,500035571629,15/01/2026,
421,500035571630,15/01/2026,
421,500035571622,15/01/2026,
421,500035571623,15/01/2026,
421,500035571624,15/01/2026,
421,500035571625,15/01/2026,
421,500035571626,15/01/2026,
421,500035571627,15/01/2026,
421,500035571613,15/01/2026,
421,500035571614,15/01/2026,
421,500035571615,15/01/2026,
421,500035571619,15/01/2026,
421,500035571620,15/01/2026,
421,500035571621,15/01/2026,
421,500035571616,15/01/2026,
421,500035571617,15/01/2026,
421,500035571618,15/01/2026,
421,500035571610,15/01/2026,
421,500035571611,15/01/2026,
421,500035571612,15/01/2026,
421,500035571604,15/01/2026,
421,500035571605,15/01/2026,
421,500035571606,15/01/2026,
