BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,8436399,40CHS,40CHS,40CHS
,,,,8436398,38CHS,38CHS,38CHS
,,,,8436397,36CHS,36CHS,36CHS
,,,,8436406,ZZ46C,ZZ46C,ZZ46C
,,,,6626925,XL,XL,XL
,,,,6626924,L,L,L
,,,,6626923,M,M,M
,,,,6626926,ZZ2XL,ZZ2XL,ZZ2XL
,,,,6626922,S,S,S
,,,,6801611,UK10,UK10,UK10
,,,,6801612,UK12,UK12,UK12
,,,,6801613,UK14,UK14,UK14
,,,,6801610,UK8,UK8,UK8
,,,,6801609,UK6,UK6,UK6
,,,,6563954,UK8,UK8,UK8
,,,,6563964,UK18,UK18,UK18
,,,,6563952,UK6,UK6,UK6
,,,,6563962,UK16,UK16,UK16
,,,,6563951,UK4,UK4,UK4
,,,,6563960,UK14,UK14,UK14
,,,,6563958,UK12,UK12,UK12
,,,,6563956,UK10,UK10,UK10
,,,,6168214,XL,XL,XL
,,,,6168213,L,L,L
,,,,6168211,S,S,S
,,,,6168210,XS,XS,XS
,,,,6168212,M,M,M
,,,,6507561,UK10,UK10,UK10
,,,,6507560,UK8,UK8,UK8
,,,,6507559,UK6,UK6,UK6
,,,,6507558,UK4,UK4,UK4
,,,,6507562,UK12,UK12,UK12
,,,,6507563,UK14,UK14,UK14
,,,,6507564,UK16,UK16,UK16
,,,,6507557,UK2,UK2,UK2
,,,,6145253,NOSZ,NOSZ,NOSZ
,,,,6018964,XS,XS,XS
,,,,5995161,M,M,M
,,,,5995163,XL,XL,XL
,,,,5995160,S,S,S
,,,,5995162,L,L,L
,,,,5995164,2XL,2XL,2XL
,,,,8373753,XL,XL,XL
,,,,8373749,XS,XS,XS
,,,,8780788,2XL,2XL,2XL
,,,,8373750,S,S,S
,,,,8373752,L,L,L
,,,,8373751,M,M,M
,,,,4915573,UK16,UK16,UK16
,,,,4915572,UK14,UK14,UK14
,,,,4915574,UK18,UK18,UK18
,,,,4915568,UK6,UK6,UK6
,,,,4915570,UK10,UK10,UK10
,,,,4915567,UK4,UK4,UK4
,,,,4915569,UK8,UK8,UK8
,,,,4915571,UK12,UK12,UK12
,,,,4427443,L,L,L
,,,,4427444,XL,XL,XL
,,,,4427442,M,M,M
,,,,9136106,ZZNK7,ZZNK7,ZZNK7
,,,,9136104,ZZNK5,ZZNK5,ZZNK5
,,,,9136109,ZZNK10,ZZNK10,ZZNK10
,,,,9136110,ZZNK11,ZZNK11,ZZNK11
,,,,9136103,ZZNK4,ZZNK4,ZZNK4
,,,,9136107,ZZNK8,ZZNK8,ZZNK8
,,,,9136105,ZZNK6,ZZNK6,ZZNK6
,,,,9136101,ZZNK3,ZZNK3,ZZNK3
,,,,9136111,ZZNK13,ZZNK13,ZZNK13
,,,,9136100,UK5.5,UK5.5,UK5.5
,,,,9136108,ZZNK9,ZZNK9,ZZNK9
,,,,8595585,UK8,UK8,UK8
,,,,8595582,UK5,UK5,UK5
,,,,8595584,UK7,UK7,UK7
,,,,8595581,UK4,UK4,UK4
,,,,8595580,UK3,UK3,UK3
,,,,8595583,UK6,UK6,UK6
,,,,5645286,ZZ5,ZZ5,ZZ5
,,,,5645287,ZZ6,ZZ6,ZZ6
,,,,5645284,ZZ3,ZZ3,ZZ3
,,,,5645288,ZZ7,ZZ7,ZZ7
,,,,5645289,ZZ8,ZZ8,ZZ8
,,,,5645285,ZZ4,ZZ4,ZZ4
,,,,5315188,UK12,UK12,UK12
,,,,5315187,UK10,UK10,UK10
,,,,5315186,UK8,UK8,UK8
,,,,5315191,UK18,UK18,UK18
,,,,5315184,UK4,UK4,UK4
,,,,5315189,UK14,UK14,UK14
,,,,5315185,UK6,UK6,UK6
,,,,5315190,UK16,UK16,UK16
,,,,7472288,NOSZ,NOSZ,NOSZ
,,,,8007737,NOSZ,NOSZ,NOSZ
,,,,9342504,S,S,S
,,,,9342507,XL,XL,XL
,,,,9342505,M,M,M
,,,,9342506,L,L,L
,,,,9142304,UK7,UK7,UK7
,,,,9142303,UK6,UK6,UK6
,,,,9142302,UK5,UK5,UK5
,,,,9142305,UK8,UK8,UK8
