BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,7663674,2XS,2XS,2XS
,,,,7663681,3XL,3XL,3XL
,,,,7663675,XS,XS,XS
,,,,7663680,2XL,2XL,2XL
,,,,7663676,S,S,S
,,,,7663678,L,L,L
,,,,7140181,M,M,M
,,,,7140182,L,L,L
,,,,7140183,XL,XL,XL
,,,,7140180,S,S,S
,,,,7140190,8XL,8XL,8XL
,,,,7140188,6XL,6XL,6XL
,,,,7140179,XS,XS,XS
,,,,7140186,4XL,4XL,4XL
,,,,7140185,3XL,3XL,3XL
,,,,7140184,2XL,2XL,2XL
,,,,7140189,7XL,7XL,7XL
,,,,7140187,5XL,5XL,5XL
,,,,4555271,UK18,UK18,UK18
,,,,4555266,ZZ8,ZZ8,ZZ8
,,,,8488738,UK6,UK6,UK6
,,,,8488746,UK16,UK16,UK16
,,,,8488747,UK18,UK18,UK18
,,,,8488744,UK12,UK12,UK12
,,,,8488740,UK8,UK8,UK8
,,,,8488742,UK10,UK10,UK10
,,,,8488748,UK20,UK20,UK20
,,,,8488745,UK14,UK14,UK14
,,,,5503119,3XLL,3XLL,3XLL
,,,,5503116,LL,LL,LL
,,,,5503120,4XLL,4XLL,4XLL
,,,,5503118,2XLL,2XLL,2XLL
,,,,5503115,ML,ML,ML
,,,,5503114,SL,SL,SL
,,,,5503117,XLL,XLL,XLL
,,,,8068500,XL,XL,XL
,,,,8068501,2XL,2XL,2XL
,,,,8068499,L,L,L
,,,,8068495,2XS,2XS,2XS
,,,,8068497,S,S,S
,,,,8068498,M,M,M
,,,,8068496,XS,XS,XS
,,,,4395215,S,S,S
,,,,4395218,XL,XL,XL
,,,,8056882,UK12,UK12,UK12
,,,,8056880,UK8,UK8,UK8
,,,,8056881,UK10,UK10,UK10
,,,,8056879,UK6,UK6,UK6
,,,,8762664,ZZ3,ZZ3,ZZ3
,,,,8762667,ZZ6,ZZ6,ZZ6
,,,,8762666,ZZ5,ZZ5,ZZ5
,,,,8762665,ZZ4,ZZ4,ZZ4
,,,,8762669,ZZ8,ZZ8,ZZ8
,,,,8762668,ZZ7,ZZ7,ZZ7
,,,,5311672,UK4,UK4,UK4
,,,,5311674,UK8,UK8,UK8
,,,,5311678,UK16,UK16,UK16
,,,,5311679,UK18,UK18,UK18
,,,,5311676,UK12,UK12,UK12
,,,,5311677,UK14,UK14,UK14
,,,,5311673,UK6,UK6,UK6
,,,,5311675,UK10,UK10,UK10
,,,,6379005,NOSZ,NOSZ,NOSZ
,,,,8024555,NOSZ,NOSZ,NOSZ
,,,,4515452,ZZ8,ZZ8,ZZ8
,,,,7230571,L,L,L
,,,,7230570,M,M,M
,,,,7230569,S,S,S
,,,,7230573,2XL,2XL,2XL
,,,,7230572,XL,XL,XL
,,,,8726280,M,M,M
,,,,8726278,XS,XS,XS
,,,,8726279,S,S,S
,,,,8726281,L,L,L
,,,,5857705,ONSZ,ONSZ,ONSZ
,,,,8069262,XS,XS,XS
,,,,8069263,S,S,S
,,,,8069264,M,M,M
,,,,8069266,XL,XL,XL
,,,,8069261,2XS,2XS,2XS
,,,,8069265,L,L,L
,,,,6863159,UK6,UK6,UK6
,,,,6863160,UK8,UK8,UK8
,,,,6863163,UK14,UK14,UK14
,,,,6863162,UK12,UK12,UK12
,,,,6863161,UK10,UK10,UK10
,,,,4316226,UK6,UK6,UK6
,,,,4316228,UK10,UK10,UK10
,,,,4316225,UK4,UK4,UK4
,,,,4316230,UK14,UK14,UK14
,,,,4316229,UK12,UK12,UK12
,,,,4316227,UK8,UK8,UK8
,,,,4613605,UK14,UK14,UK14
,,,,4613604,UK12,UK12,UK12
,,,,9156334,UK10,UK10,UK10
,,,,9156332,UK6,UK6,UK6
,,,,9156337,UK16,UK16,UK16
,,,,9156333,UK8,UK8,UK8
,,,,9156335,UK12,UK12,UK12
,,,,9156336,UK14,UK14,UK14
