BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,5886781,S,S,S
,,,,6540744,3XL,3XL,3XL
,,,,6540740,M,M,M
,,,,6540742,XL,XL,XL
,,,,6540738,XS,XS,XS
,,,,6540741,L,L,L
,,,,6540743,2XL,2XL,2XL
,,,,6540739,S,S,S
,,,,6540737,2XS,2XS,2XS
,,,,9087221,L,L,L
,,,,9087223,3XL,3XL,3XL
,,,,9087220,M,M,M
,,,,9087222,2XL,2XL,2XL
,,,,8365915,NOSZ,NOSZ,NOSZ
,,,,4535919,S,S,S
,,,,4535922,XL,XL,XL
,,,,4535920,M,M,M
,,,,4535921,L,L,L
,,,,5403119,UK12L32,UK12L32,UK12L32
,,,,5403118,UK10L32,UK10L32,UK10L32
,,,,5403122,UK18L32,UK18L32,UK18L32
,,,,5228431,UK18,UK18,UK18
,,,,5228425,UK6,UK6,UK6
,,,,5228426,UK8,UK8,UK8
,,,,5228429,UK14,UK14,UK14
,,,,5228428,UK12,UK12,UK12
,,,,5228427,UK10,UK10,UK10
,,,,4906090,NOSZ,NOSZ,NOSZ
,,,,7579268,W34L34,W34L34,W34L34
,,,,7579254,W33L30,W33L30,W33L30
,,,,7579250,W28L30,W28L30,W28L30
,,,,7579257,W29L32,W29L32,W29L32
,,,,7579261,W33L32,W33L32,W33L32
,,,,7579255,W34L30,W34L30,W34L30
,,,,7579267,W32L34,W32L34,W32L34
,,,,7579262,W34L32,W34L32,W34L32
,,,,7579260,W32L32,W32L32,W32L32
,,,,7579259,W31L32,W31L32,W31L32
,,,,7579251,W30L30,W30L30,W30L30
,,,,7579269,W36L34,W36L34,W36L34
,,,,7579266,W30L34,W30L34,W30L34
,,,,7579252,W31L30,W31L30,W31L30
,,,,7579253,W32L30,W32L30,W32L30
,,,,7579258,W30L32,W30L32,W30L32
,,,,7579256,W28L32,W28L32,W28L32
,,,,7579249,W26L30,W26L30,W26L30
,,,,7579265,W38L32,W38L32,W38L32
,,,,7579264,W36L32,W36L32,W36L32
,,,,5666001,UK28,UK28,UK28
,,,,5665998,UK22,UK22,UK22
,,,,5666000,UK26,UK26,UK26
,,,,5665999,UK24,UK24,UK24
,,,,5665997,UK20,UK20,UK20
,,,,5665996,UK18,UK18,UK18
,,,,7107459,M,M,M
,,,,7107462,2XL,2XL,2XL
,,,,7107460,L,L,L
,,,,7107458,S,S,S
,,,,7107461,XL,XL,XL
,,,,9345993,S,S,S
,,,,9345992,XS,XS,XS
,,,,9345996,XL,XL,XL
,,,,9345994,M,M,M
,,,,9345995,L,L,L
,,,,5086971,UK14,UK14,UK14
,,,,5086968,UK8,UK8,UK8
,,,,5086969,UK10,UK10,UK10
,,,,5086967,UK6,UK6,UK6
,,,,5086970,UK12,UK12,UK12
,,,,7513192,2XL,2XL,2XL
,,,,7513187,XS,XS,XS
,,,,7513189,M,M,M
,,,,7513191,XL,XL,XL
,,,,7513190,L,L,L
,,,,7513188,S,S,S
,,,,7369881,S,S,S
,,,,7369880,XS,XS,XS
,,,,7369884,XL,XL,XL
,,,,7369883,L,L,L
,,,,7369882,M,M,M
,,,,7369885,2XL,2XL,2XL
,,,,8593929,UK10,UK10,UK10
,,,,8593927,UK6,UK6,UK6
,,,,8593930,UK12,UK12,UK12
,,,,8593931,UK14,UK14,UK14
,,,,8593928,UK8,UK8,UK8
,,,,8593932,UK16,UK16,UK16
,,,,6069865,ZZ12,ZZ12,ZZ12
,,,,6069867,ZZ16,ZZ16,ZZ16
,,,,6069861,ZZ4,ZZ4,ZZ4
,,,,6069866,ZZ14,ZZ14,ZZ14
,,,,6069864,ZZ10,ZZ10,ZZ10
,,,,6069863,ZZ8,ZZ8,ZZ8
,,,,6069862,ZZ6,ZZ6,ZZ6
,,,,3143991,UK10,UK10,UK10
,,,,7796443,L,L,L
,,,,7796442,M,M,M
,,,,7796440,XS,XS,XS
,,,,7796441,S,S,S
,,,,6611069,XL,XL,XL
