BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,7152972,XS,XS,XS
,,,,7152973,S,S,S
,,,,7152974,M,M,M
,,,,7702552,UK18,UK18,UK18
,,,,7702547,UK8,UK8,UK8
,,,,7702549,UK12,UK12,UK12
,,,,7702550,UK14,UK14,UK14
,,,,7702551,UK16,UK16,UK16
,,,,7702553,UK20,UK20,UK20
,,,,7702546,UK6,UK6,UK6
,,,,7702548,UK10,UK10,UK10
,,,,7702556,UK26,UK26,UK26
,,,,7702555,UK24,UK24,UK24
,,,,7702557,UK28,UK28,UK28
,,,,7702545,UK4,UK4,UK4
,,,,7702558,UK30,UK30,UK30
,,,,7702554,UK22,UK22,UK22
,,,,7702544,UK2,UK2,UK2
,,,,3107088,M,M,M
,,,,8901138,M,M,M
,,,,8901135,2XS,2XS,2XS
,,,,8901136,XS,XS,XS
,,,,8901140,XL,XL,XL
,,,,8901141,2XL,2XL,2XL
,,,,8901139,L,L,L
,,,,8901137,S,S,S
,,,,5911384,2XL,2XL,2XL
,,,,5911377,3XS,3XS,3XS
,,,,5911382,L,L,L
,,,,5911383,XL,XL,XL
,,,,5911381,M,M,M
,,,,5911379,XS,XS,XS
,,,,5911378,2XS,2XS,2XS
,,,,5911380,S,S,S
,,,,7452624,XS,XS,XS
,,,,7452634,7XL,7XL,7XL
,,,,7452631,4XL,4XL,4XL
,,,,7452633,6XL,6XL,6XL
,,,,7452632,5XL,5XL,5XL
,,,,7452625,S,S,S
,,,,7452627,L,L,L
,,,,7452626,M,M,M
,,,,7452629,2XL,2XL,2XL
,,,,7452635,8XL,8XL,8XL
,,,,7452630,3XL,3XL,3XL
,,,,7452628,XL,XL,XL
,,,,6207156,NOSZ,NOSZ,NOSZ
,,,,8527475,UK4,UK4,UK4
,,,,8527476,UK6,UK6,UK6
,,,,8527477,UK8,UK8,UK8
,,,,8527479,UK12,UK12,UK12
,,,,8527480,UK14,UK14,UK14
,,,,8527478,UK10,UK10,UK10
,,,,8527481,UK16,UK16,UK16
,,,,8527482,UK18,UK18,UK18
,,,,6701814,W30L32,W30L32,W30L32
,,,,6701817,W36L32,W36L32,W36L32
,,,,6701815,W32L32,W32L32,W32L32
,,,,6701816,W34L32,W34L32,W34L32
,,,,6701813,W28L32,W28L32,W28L32
,,,,7573081,NOSZ,NOSZ,NOSZ
,,,,6395038,S,S,S
,,,,6395040,L,L,L
,,,,6395041,XL,XL,XL
,,,,6395042,2XL,2XL,2XL
,,,,6395039,M,M,M
,,,,7970758,42FF-G,42FF-G,42FF-G
,,,,7970755,40DD-F,40DD-F,40DD-F
,,,,7970752,36FF-G,36FF-G,36FF-G
,,,,7970747,32DD-F,32DD-F,32DD-F
,,,,7970757,42DD-F,42DD-F,42DD-F
,,,,7970749,34DD-F,34DD-F,34DD-F
,,,,7970756,40FF-G,40FF-G,40FF-G
,,,,7970754,38FF-G,38FF-G,38FF-G
,,,,7970751,36DD-F,36DD-F,36DD-F
,,,,7970745,30DD-F,30DD-F,30DD-F
,,,,7970748,32FF-G,32FF-G,32FF-G
,,,,7970746,30FF-G,30FF-G,30FF-G
,,,,7970753,38DD-F,38DD-F,38DD-F
,,,,7970750,34FF-G,34FF-G,34FF-G
,,,,8459700,EU32,EU32,EU32
,,,,8459709,EU42,EU42,EU42
,,,,8459705,EU38,EU38,EU38
,,,,8459701,EU34,EU34,EU34
,,,,8459711,EU44,EU44,EU44
,,,,8459707,EU40,EU40,EU40
,,,,8459703,EU36,EU36,EU36
,,,,6637962,UK8,UK8,UK8
,,,,6637964,UK12,UK12,UK12
,,,,6637967,UK18,UK18,UK18
,,,,6637965,UK14,UK14,UK14
,,,,6637966,UK16,UK16,UK16
,,,,6637963,UK10,UK10,UK10
,,,,5853716,UK10,UK10,UK10
,,,,5853717,UK12,UK12,UK12
,,,,5853719,UK16,UK16,UK16
,,,,5853715,UK8,UK8,UK8
,,,,5853718,UK14,UK14,UK14
,,,,603282,XS,XS,XS
,,,,7156574,ZZ8,ZZ8,ZZ8
