BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,5909273,NOSZ,NOSZ,NOSZ
,,,,8583966,XS,XS,XS
,,,,8583969,L,L,L
,,,,8583967,S,S,S
,,,,8583968,M,M,M
,,,,7195105,NOSZ,NOSZ,NOSZ
,,,,8264210,NOSZ,NOSZ,NOSZ
,,,,6859563,XL,XL,XL
,,,,6859559,XS,XS,XS
,,,,6859564,2XL,2XL,2XL
,,,,6859562,L,L,L
,,,,6859561,M,M,M
,,,,6859560,S,S,S
,,,,6609764,NOSZ,NOSZ,NOSZ
,,,,4302229,ZZ8,ZZ8,ZZ8
,,,,4302231,ZZ10,ZZ10,ZZ10
,,,,4302233,ZZ12,ZZ12,ZZ12
,,,,4302230,ZZ9,ZZ9,ZZ9
,,,,8273354,UK3,UK3,UK3
,,,,8273358,UK5,UK5,UK5
,,,,8273361,UK6.5,UK6.5,UK6.5
,,,,8273364,UK7.5,UK7.5,UK7.5
,,,,8666826,UK9.5,UK9.5,UK9.5
,,,,8273360,UK6,UK6,UK6
,,,,8666819,UK2.5,UK2.5,UK2.5
,,,,8666824,UK9,UK9,UK9
,,,,8273357,UK4.5,UK4.5,UK4.5
,,,,8273359,UK5.5,UK5.5,UK5.5
,,,,8666822,UK8.5,UK8.5,UK8.5
,,,,8273356,UK4,UK4,UK4
,,,,8273355,UK3.5,UK3.5,UK3.5
,,,,8273362,UK7,UK7,UK7
,,,,8273365,UK8,UK8,UK8
,,,,5933366,UK10,UK10,UK10
,,,,5933368,UK14,UK14,UK14
,,,,5933364,UK6,UK6,UK6
,,,,5933365,UK8,UK8,UK8
,,,,5933367,UK12,UK12,UK12
,,,,5933363,UK4,UK4,UK4
,,,,5933370,UK18,UK18,UK18
,,,,5933369,UK16,UK16,UK16
,,,,8465310,XL,XL,XL
,,,,8465308,M,M,M
,,,,8465309,L,L,L
,,,,8465307,S,S,S
,,,,8465306,XS,XS,XS
,,,,8465316,7XL,7XL,7XL
,,,,8465313,4XL,4XL,4XL
,,,,8465312,3XL,3XL,3XL
,,,,8465314,5XL,5XL,5XL
,,,,8465311,2XL,2XL,2XL
,,,,8465315,6XL,6XL,6XL
,,,,8465317,8XL,8XL,8XL
,,,,7916269,UK3,UK3,UK3
,,,,7916270,UK4,UK4,UK4
,,,,7916274,UK8,UK8,UK8
,,,,7916273,UK7,UK7,UK7
,,,,7916271,UK5,UK5,UK5
,,,,7916272,UK6,UK6,UK6
,,,,6019411,ZZ5,ZZ5,ZZ5
,,,,6019414,ZZ8,ZZ8,ZZ8
,,,,6019412,ZZ6,ZZ6,ZZ6
,,,,6019409,ZZ3,ZZ3,ZZ3
,,,,6019410,ZZ4,ZZ4,ZZ4
,,,,6019413,ZZ7,ZZ7,ZZ7
,,,,8647249,UK8,UK8,UK8
,,,,8647252,UK14,UK14,UK14
,,,,8647254,UK18,UK18,UK18
,,,,8647247,UK4,UK4,UK4
,,,,8647248,UK6,UK6,UK6
,,,,8647250,UK10,UK10,UK10
,,,,8647253,UK16,UK16,UK16
,,,,8647251,UK12,UK12,UK12
,,,,7258704,S,S,S
,,,,7258705,M,M,M
,,,,7258706,L,L,L
,,,,7258707,XL,XL,XL
,,,,8789320,L,L,L
,,,,8789319,M,M,M
,,,,8789318,S,S,S
,,,,8789321,XL,XL,XL
,,,,7983163,US8,US8,US8
,,,,7983164,US10,US10,US10
,,,,7983160,US2,US2,US2
,,,,7983161,US4,US4,US4
,,,,7983162,US6,US6,US6
,,,,7983165,US12,US12,US12
,,,,7410821,ZZ18,ZZ18,ZZ18
,,,,7410816,ZZ8,ZZ8,ZZ8
,,,,7410814,ZZ4,ZZ4,ZZ4
,,,,7410820,ZZ16,ZZ16,ZZ16
,,,,7410819,ZZ14,ZZ14,ZZ14
,,,,7410817,ZZ10,ZZ10,ZZ10
,,,,7410818,ZZ12,ZZ12,ZZ12
,,,,7410815,ZZ6,ZZ6,ZZ6
,,,,5886780,XS,XS,XS
,,,,5886783,L,L,L
,,,,5886784,XL,XL,XL
,,,,5886782,M,M,M
,,,,5886785,2XL,2XL,2XL
