BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,6611068,L,L,L
,,,,6611067,M,M,M
,,,,6611065,XS,XS,XS
,,,,6611066,S,S,S
,,,,8362154,M,M,M
,,,,8362153,S,S,S
,,,,8362155,L,L,L
,,,,8362156,XL,XL,XL
,,,,8362157,2XL,2XL,2XL
,,,,8001001,42CHXL,42CHXL,42CHXL
,,,,8001000,40CHXL,40CHXL,40CHXL
,,,,8001002,44CHXL,44CHXL,44CHXL
,,,,8000999,38CHXL,38CHXL,38CHXL
,,,,8001003,46CHXL,46CHXL,46CHXL
,,,,8001004,48CHXL,48CHXL,48CHXL
,,,,7282624,W24L32,W24L32,W24L32
,,,,6106762,W32L32,W32L32,W32L32
,,,,6106759,W29L32,W29L32,W29L32
,,,,6106752,W28L30,W28L30,W28L30
,,,,6106757,W27L32,W27L32,W27L32
,,,,6106760,W30L32,W30L32,W30L32
,,,,6106751,W27L30,W27L30,W27L30
,,,,6106761,W31L32,W31L32,W31L32
,,,,7341373,W24L30,W24L30,W24L30
,,,,6106750,W26L30,W26L30,W26L30
,,,,6106749,W25L30,W25L30,W25L30
,,,,6106758,W28L32,W28L32,W28L32
,,,,6106755,W25L32,W25L32,W25L32
,,,,6106753,W29L30,W29L30,W29L30
,,,,6106756,W26L32,W26L32,W26L32
,,,,6106754,W30L30,W30L30,W30L30
,,,,8718242,UK8,UK8,UK8
,,,,8718245,UK14,UK14,UK14
,,,,8718241,UK6,UK6,UK6
,,,,8718243,UK10,UK10,UK10
,,,,8718246,UK16,UK16,UK16
,,,,8718244,UK12,UK12,UK12
,,,,7699199,XL,XL,XL
,,,,7699196,S,S,S
,,,,7699198,L,L,L
,,,,7699197,M,M,M
,,,,8156311,ZZ8,ZZ8,ZZ8
,,,,8156314,ZZ14,ZZ14,ZZ14
,,,,8156313,ZZ12,ZZ12,ZZ12
,,,,8156315,ZZ16,ZZ16,ZZ16
,,,,8156312,ZZ10,ZZ10,ZZ10
,,,,8156310,ZZ6,ZZ6,ZZ6
,,,,8842086,UK8,UK8,UK8
,,,,8842088,UK12,UK12,UK12
,,,,8842089,UK14,UK14,UK14
,,,,8842082,UK4,UK4,UK4
,,,,8842087,UK10,UK10,UK10
,,,,8842090,UK16,UK16,UK16
,,,,8842084,UK6,UK6,UK6
,,,,8842091,UK18,UK18,UK18
,,,,7608448,L,L,L
,,,,7608446,S,S,S
,,,,7608449,XL,XL,XL
,,,,7608447,M,M,M
,,,,4807237,NOSZ,NOSZ,NOSZ
,,,,8303412,NOSZ,NOSZ,NOSZ
,,,,6922107,EU36,EU36,EU36
,,,,6922110,EU42,EU42,EU42
,,,,6922108,EU38,EU38,EU38
,,,,6922106,EU34,EU34,EU34
,,,,6922109,EU40,EU40,EU40
,,,,6922111,EU44,EU44,EU44
,,,,6922103,EU30,EU30,EU30
,,,,6922105,EU32,EU32,EU32
,,,,9324365,NOSZ,NOSZ,NOSZ
,,,,7865518,ONSZ,ONSZ,ONSZ
,,,,5928037,W28,W28,W28
,,,,5928038,W29,W29,W29
,,,,5928036,W27,W27,W27
,,,,5928035,W26,W26,W26
,,,,5928039,W30,W30,W30
,,,,5928034,W25,W25,W25
,,,,9283248,UK10,UK10,UK10
,,,,9283249,UK12,UK12,UK12
,,,,9283251,UK16,UK16,UK16
,,,,9283246,UK6,UK6,UK6
,,,,9283247,UK8,UK8,UK8
,,,,9283250,UK14,UK14,UK14
,,,,7700004,XL,XL,XL
,,,,7700002,M,M,M
,,,,7700005,2XL,2XL,2XL
,,,,7700001,S,S,S
,,,,7700003,L,L,L
,,,,5270417,L,L,L
,,,,5270415,S,S,S
,,,,5270416,M,M,M
,,,,5270414,XS,XS,XS
,,,,5270418,XL,XL,XL
,,,,7429978,UK10,UK10,UK10
,,,,7429981,UK16,UK16,UK16
,,,,7429980,UK14,UK14,UK14
,,,,7429977,UK8,UK8,UK8
,,,,7429979,UK12,UK12,UK12
,,,,7663677,M,M,M
,,,,7663679,XL,XL,XL
