BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,8711822,S,S,S
,,,,8711823,M,M,M
,,,,8711825,XL,XL,XL
,,,,8711821,XS,XS,XS
,,,,8711824,L,L,L
,,,,7010399,UK20,UK20,UK20
,,,,7010393,UK8,UK8,UK8
,,,,7010395,UK12,UK12,UK12
,,,,7010391,UK4,UK4,UK4
,,,,7010396,UK14,UK14,UK14
,,,,7010397,UK16,UK16,UK16
,,,,7010394,UK10,UK10,UK10
,,,,7010392,UK6,UK6,UK6
,,,,7010398,UK18,UK18,UK18
,,,,7010403,UK28,UK28,UK28
,,,,7010404,UK30,UK30,UK30
,,,,7010401,UK24,UK24,UK24
,,,,7010402,UK26,UK26,UK26
,,,,7010400,UK22,UK22,UK22
,,,,7010390,UK2,UK2,UK2
,,,,7068928,NOSZ,NOSZ,NOSZ
,,,,3701986,W30L32,W30L32,W30L32
,,,,3701993,W30L34,W30L34,W30L34
,,,,7208536,L,L,L
,,,,7208538,2XL,2XL,2XL
,,,,7208537,XL,XL,XL
,,,,7208535,M,M,M
,,,,7208533,XS,XS,XS
,,,,7208534,S,S,S
,,,,8956264,ONSZ,ONSZ,ONSZ
,,,,4520417,UK8,UK8,UK8
,,,,4520422,UK18,UK18,UK18
,,,,4520418,UK10,UK10,UK10
,,,,4520420,UK14,UK14,UK14
,,,,4520419,UK12,UK12,UK12
,,,,7077144,M,M,M
,,,,7077143,S,S,S
,,,,7077148,3XL,3XL,3XL
,,,,7077142,XS,XS,XS
,,,,7077141,2XS,2XS,2XS
,,,,7077147,2XL,2XL,2XL
,,,,7077146,XL,XL,XL
,,,,7077145,L,L,L
,,,,8346872,UK6,UK6,UK6
,,,,8346876,UK14,UK14,UK14
,,,,8346873,UK8,UK8,UK8
,,,,8346875,UK12,UK12,UK12
,,,,8346874,UK10,UK10,UK10
,,,,8346877,UK16,UK16,UK16
,,,,9001278,NOSZ,NOSZ,NOSZ
,,,,4131480,UK16,UK16,UK16
,,,,5171783,XS,XS,XS
,,,,5171784,S,S,S
,,,,5171785,M,M,M
,,,,5171786,L,L,L
,,,,5171787,XL,XL,XL
,,,,8728807,M,M,M
,,,,8728806,S,S,S
,,,,8728805,XS,XS,XS
,,,,8728808,L,L,L
,,,,6474105,NOSZ,NOSZ,NOSZ
,,,,5773104,UK12,UK12,UK12
,,,,5773102,UK8,UK8,UK8
,,,,5773103,UK10,UK10,UK10
,,,,6469342,2XS,2XS,2XS
,,,,6469347,XL,XL,XL
,,,,6469344,S,S,S
,,,,6469348,2XL,2XL,2XL
,,,,6469345,M,M,M
,,,,6469346,L,L,L
,,,,6469349,3XL,3XL,3XL
,,,,6469343,XS,XS,XS
,,,,5012343,UK16,UK16,UK16
,,,,5012338,UK6,UK6,UK6
,,,,5012341,UK12,UK12,UK12
,,,,5012339,UK8,UK8,UK8
,,,,5012342,UK14,UK14,UK14
,,,,5012340,UK10,UK10,UK10
,,,,7210769,ZZ6,ZZ6,ZZ6
,,,,7210771,ZZ8,ZZ8,ZZ8
,,,,7210767,ZZ4,ZZ4,ZZ4
,,,,7210768,ZZ5,ZZ5,ZZ5
,,,,7210770,ZZ7,ZZ7,ZZ7
,,,,7210766,ZZ3,ZZ3,ZZ3
,,,,8326031,ZZ8,ZZ8,ZZ8
,,,,8326036,ZZ18,ZZ18,ZZ18
,,,,8326034,ZZ14,ZZ14,ZZ14
,,,,8326033,ZZ12,ZZ12,ZZ12
,,,,8326035,ZZ16,ZZ16,ZZ16
,,,,8326029,UK4,UK4,UK4
,,,,8326030,ZZ6,ZZ6,ZZ6
,,,,8326032,ZZ10,ZZ10,ZZ10
,,,,8436402,ZZ38C,ZZ38C,ZZ38C
,,,,8436408,ZZ42CL,ZZ42CL,ZZ42CL
,,,,8436400,ZZ34C,ZZ34C,ZZ34C
,,,,8436407,ZZ40CL,ZZ40CL,ZZ40CL
,,,,8436404,ZZ42C,ZZ42C,ZZ42C
,,,,8436405,ZZ44C,ZZ44C,ZZ44C
,,,,8436401,ZZ36C,ZZ36C,ZZ36C
,,,,8436403,ZZ40C,ZZ40C,ZZ40C
