BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,7156573,ZZ7,ZZ7,ZZ7
,,,,7156571,ZZ5,ZZ5,ZZ5
,,,,7156572,ZZ6,ZZ6,ZZ6
,,,,7156570,ZZ4,ZZ4,ZZ4
,,,,7156569,ZZ3,ZZ3,ZZ3
,,,,7159951,ZZ9,ZZ9,ZZ9
,,,,7428796,ZZ4,ZZ4,ZZ4
,,,,7428798,ZZ6,ZZ6,ZZ6
,,,,7428800,ZZ8,ZZ8,ZZ8
,,,,7428795,ZZ3,ZZ3,ZZ3
,,,,7428799,ZZ7,ZZ7,ZZ7
,,,,7428797,ZZ5,ZZ5,ZZ5
,,,,8593354,NOSZ,NOSZ,NOSZ
,,,,6994579,UK14,UK14,UK14
,,,,6994578,UK12,UK12,UK12
,,,,6994575,UK6,UK6,UK6
,,,,6994576,UK8,UK8,UK8
,,,,6994577,UK10,UK10,UK10
,,,,6994574,UK4,UK4,UK4
,,,,8832239,NOSZ,NOSZ,NOSZ
,,,,5486037,UK14,UK14,UK14
,,,,5486032,UK4,UK4,UK4
,,,,5486034,UK8,UK8,UK8
,,,,5486035,UK10,UK10,UK10
,,,,5486038,UK16,UK16,UK16
,,,,5486039,UK18,UK18,UK18
,,,,5486033,UK6,UK6,UK6
,,,,5486036,UK12,UK12,UK12
,,,,8809983,UK10,UK10,UK10
,,,,8809982,UK8,UK8,UK8
,,,,8809985,UK14,UK14,UK14
,,,,8809986,UK16,UK16,UK16
,,,,8809980,UK4,UK4,UK4
,,,,8809981,UK6,UK6,UK6
,,,,8809987,UK18,UK18,UK18
,,,,8809984,UK12,UK12,UK12
,,,,7024733,UK8,UK8,UK8
,,,,7024737,UK16,UK16,UK16
,,,,7024736,UK14,UK14,UK14
,,,,7024734,UK10,UK10,UK10
,,,,7024735,UK12,UK12,UK12
,,,,7024732,UK6,UK6,UK6
,,,,6224842,UK10,UK10,UK10
,,,,6224844,UK12,UK12,UK12
,,,,6224841,UK9,UK9,UK9
,,,,6224843,UK11,UK11,UK11
,,,,6224839,UK7,UK7,UK7
,,,,6224840,UK8,UK8,UK8
,,,,6224838,UK6,UK6,UK6
,,,,8706878,ONSZ,ONSZ,ONSZ
,,,,4620339,UK10,UK10,UK10
,,,,7541029,NOSZ,NOSZ,NOSZ
,,,,9081812,S,S,S
,,,,9081814,L,L,L
,,,,9081813,M,M,M
,,,,6708167,UK12,UK12,UK12
,,,,6708166,UK10,UK10,UK10
,,,,6708164,UK6,UK6,UK6
,,,,6708168,UK14,UK14,UK14
,,,,6708165,UK8,UK8,UK8
,,,,5169214,UK8,UK8,UK8
,,,,5169215,UK10,UK10,UK10
,,,,5169213,UK6,UK6,UK6
,,,,8646192,M,M,M
,,,,8646190,XS,XS,XS
,,,,8646193,L,L,L
,,,,8646191,S,S,S
,,,,8646194,XL,XL,XL
,,,,8646195,2XL,2XL,2XL
,,,,8437898,2XS,2XS,2XS
,,,,8437900,S,S,S
,,,,8437904,2XL,2XL,2XL
,,,,8437903,XL,XL,XL
,,,,8437905,3XL,3XL,3XL
,,,,8437899,XS,XS,XS
,,,,8437902,L,L,L
,,,,8437901,M,M,M
,,,,6907699,NOSZ,NOSZ,NOSZ
,,,,8180653,NOSZ,NOSZ,NOSZ
,,,,5147765,ZZ16,ZZ16,ZZ16
,,,,5147764,ZZ14,ZZ14,ZZ14
,,,,5147763,ZZ12,ZZ12,ZZ12
,,,,5147760,ZZ6,ZZ6,ZZ6
,,,,5147762,ZZ10,ZZ10,ZZ10
,,,,5147761,ZZ8,ZZ8,ZZ8
,,,,6094202,W36,W36,W36
,,,,6094199,W32,W32,W32
,,,,6094196,W30,W30,W30
,,,,6094203,W38,W38,W38
,,,,6094201,W34,W34,W34
,,,,6094195,W29,W29,W29
,,,,6355654,M,M,M
,,,,6355655,L,L,L
,,,,6355656,XL,XL,XL
,,,,6094198,W31,W31,W31
,,,,6094200,W33,W33,W33
,,,,6094194,W28,W28,W28
,,,,6355657,2XL,2XL,2XL
,,,,6355653,S,S,S
,,,,8274497,UK6,UK6,UK6
