BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,8395026,2XS,2XS,2XS
,,,,8395027,XS,XS,XS
,,,,8395032,2XL,2XL,2XL
,,,,8395029,M,M,M
,,,,8395028,S,S,S
,,,,8395030,L,L,L
,,,,8395033,3XL,3XL,3XL
,,,,8395031,XL,XL,XL
,,,,8985972,XL,XL,XL
,,,,8985968,XS,XS,XS
,,,,8985969,S,S,S
,,,,8985973,2XL,2XL,2XL
,,,,8985970,M,M,M
,,,,8985971,L,L,L
,,,,7400388,NOSZ,NOSZ,NOSZ
,,,,5510263,XS,XS,XS
,,,,5510266,L,L,L
,,,,5510268,2XL,2XL,2XL
,,,,5510265,M,M,M
,,,,5510267,XL,XL,XL
,,,,5510264,S,S,S
,,,,6564224,UK5.5,UK5.5,UK5.5
,,,,6564221,UK4,UK4,UK4
,,,,6564226,UK6.5,UK6.5,UK6.5
,,,,6564225,UK6,UK6,UK6
,,,,6564223,UK5,UK5,UK5
,,,,6564231,UK9,UK9,UK9
,,,,6564228,UK7.5,UK7.5,UK7.5
,,,,6564219,UK3,UK3,UK3
,,,,6564220,UK3.5,UK3.5,UK3.5
,,,,6564222,UK4.5,UK4.5,UK4.5
,,,,6564218,UK2.5,UK2.5,UK2.5
,,,,6564227,UK7,UK7,UK7
,,,,6564229,UK8,UK8,UK8
,,,,6564230,UK8.5,UK8.5,UK8.5
,,,,8968276,2XL,2XL,2XL
,,,,8968272,S,S,S
,,,,8968271,XS,XS,XS
,,,,8968275,XL,XL,XL
,,,,8968274,L,L,L
,,,,8968273,M,M,M
,,,,7718754,UK4.5,UK4.5,UK4.5
,,,,7718758,UK6.5,UK6.5,UK6.5
,,,,7718757,UK6,UK6,UK6
,,,,7718755,UK5,UK5,UK5
,,,,7718762,UK8.5,UK8.5,UK8.5
,,,,7718753,UK4,UK4,UK4
,,,,7718760,UK7.5,UK7.5,UK7.5
,,,,7718749,UK2.5,UK2.5,UK2.5
,,,,7718761,UK8,UK8,UK8
,,,,7718752,UK3.5,UK3.5,UK3.5
,,,,7718750,UK3,UK3,UK3
,,,,7718756,UK5.5,UK5.5,UK5.5
,,,,7718759,UK7,UK7,UK7
,,,,7718763,UK9,UK9,UK9
,,,,8412530,L,L,L
,,,,8412529,M,M,M
,,,,8412528,S,S,S
,,,,6014187,XS,XS,XS
,,,,6014189,M,M,M
,,,,6014188,S,S,S
,,,,6014191,XL,XL,XL
,,,,6014190,L,L,L
,,,,7148776,M,M,M
,,,,7148780,3XL,3XL,3XL
,,,,7148773,2XS,2XS,2XS
,,,,7148775,S,S,S
,,,,7148779,2XL,2XL,2XL
,,,,7148774,XS,XS,XS
,,,,7148777,L,L,L
,,,,7148778,XL,XL,XL
,,,,8857664,ZZ10,ZZ10,ZZ10
,,,,8857663,ZZ8,ZZ8,ZZ8
,,,,8857665,ZZ12,ZZ12,ZZ12
,,,,8857661,ZZ4,ZZ4,ZZ4
,,,,8857662,ZZ6,ZZ6,ZZ6
,,,,8857666,ZZ14,ZZ14,ZZ14
,,,,8857667,ZZ16,ZZ16,ZZ16
,,,,5124020,UK8,UK8,UK8
,,,,5124018,UK6,UK6,UK6
,,,,5124017,UK5,UK5,UK5
,,,,5124019,UK7,UK7,UK7
,,,,5124016,UK4,UK4,UK4
,,,,5124015,UK3,UK3,UK3
,,,,6538385,XL,XL,XL
,,,,6538381,XS,XS,XS
,,,,6538383,M,M,M
,,,,6538384,L,L,L
,,,,6538382,S,S,S
,,,,8739129,M,M,M
,,,,8739130,L,L,L
,,,,8739128,S,S,S
,,,,5257833,UK22,UK22,UK22
,,,,5257831,UK18,UK18,UK18
,,,,5257832,UK20,UK20,UK20
,,,,5257836,UK28,UK28,UK28
,,,,5257830,UK16,UK16,UK16
,,,,5257835,UK26,UK26,UK26
,,,,7152975,L,L,L
,,,,7152976,XL,XL,XL
