Option ID,Care Label
100013254,2
100013258,2
100013259,2
100013260,2
100013262,2
100013263,2
100013264,2
100013265,2
100013273,2
100013274,2
100013275,2
100013278,2
100013279,2
100013280,2
100013281,2
100013282,2
100013283,2
100013285,2
100013286,2
100013287,2
100013295,2
100013296,2
100013297,2
100013302,2
100013303,2
100013313,2
100013315,2
100013316,2
100013317,2
100013321,2
100013322,2
100013323,2
100013324,2
100013326,2
100013327,2
100013329,2
100013330,2
100013331,2
100013332,2
100013333,2
100013336,2
100013337,2
100013340,2
100013341,2
100013342,2
100013343,2
100013345,2
100013346,2
100013350,2
100013351,2
