Option ID,Care Label
100008228,2
100008229,2
100008233,2
100008264,2
100008274,2
100008276,2
100008291,2
100008298,2
100008299,2
100008300,2
100008301,2
100008302,2
100008303,2
100008307,2
100008308,2
100008309,2
100008313,2
100008314,2
100008315,2
100008317,2
100008331,2
100008358,2
100008364,2
100008369,2
100008370,2
100008371,2
100008377,2
100008388,2
100008389,2
100008390,2
100008391,2
100008392,2
100008393,2
100008394,2
100008402,2
100008408,2
100008409,2
100008410,2
100008411,2
100008413,2
100008415,2
100008417,2
100008424,2
100008426,2
100008444,2
100008450,2
100008462,2
100008471,2
100008482,2
100008483,2
