Option ID,Care Label
100014954,2
100014958,2
100014959,2
100014960,2
100014961,2
100014962,2
100014964,2
100014965,2
100014966,2
100014980,2
100014981,2
100014982,2
100014996,2
100015010,2
100015011,2
100015012,2
100015013,2
100015014,2
100015015,2
100015016,2
100015017,2
100015018,2
100015024,2
100015025,2
100015026,2
100015028,2
100015029,2
100015030,2
100015031,2
100015033,2
100015034,2
100015035,2
100015037,2
100015038,2
100015042,2
100015043,2
100015044,2
100015048,2
100015049,2
100015051,2
100015061,2
100015062,2
100015063,2
100015066,2
100015067,2
100015068,2
100015069,2
100015070,2
100015071,2
100015072,2
