Option ID,Care Label
100010823,2
100010836,2
100010842,2
100010886,2
100010889,2
100010890,2
100010891,2
100010909,2
100010924,2
100010943,2
100010944,2
100010945,2
100010946,2
100010963,2
100010979,2
100010981,2
100011005,2
100011006,2
100011007,2
100011008,2
100011009,2
100011029,2
100011031,2
100011032,2
100011034,2
100011046,2
100011047,2
100011075,2
100011079,2
100011081,2
100011091,2
100011106,2
100011107,2
100011109,2
100011110,2
100011111,2
100011112,2
100011124,2
100011140,2
100011155,2
100011156,2
100011157,2
100011169,2
100011182,2
100011202,2
100011212,2
100011243,2
100011245,2
100011246,2
100011257,2
