Option ID,Care Label
100013711,2
100013714,2
100013715,2
100013716,2
100013717,2
100013722,2
100013723,2
100013724,2
100013725,2
100013726,2
100013727,2
100013729,2
100013730,2
100013731,2
100013732,2
100013733,2
100013734,2
100013735,2
100013736,2
100013737,2
100013743,2
100013745,2
100013753,2
100013756,2
100013758,2
100013762,2
100013765,2
100013766,2
100013768,2
100013769,2
100013770,2
100013771,2
100013772,2
100013773,2
100013774,2
100013775,2
100013779,2
100013780,2
100013782,2
100013783,2
100013789,2
100013794,2
100013797,2
100013799,2
100013800,2
100013801,2
100013803,2
100013804,2
100013805,2
100013806,2
