Option ID,Care Label
100013447,2
100013448,2
100013450,2
100013451,2
100013452,2
100013455,2
100013456,2
100013457,2
100013458,2
100013459,2
100013460,2
100013461,2
100013462,2
100013463,2
100013464,2
100013465,2
100013468,2
100013469,2
100013470,2
100013474,2
100013475,2
100013480,2
100013481,2
100013482,2
100013483,2
100013484,2
100013485,2
100013486,2
100013487,2
100013490,2
100013494,2
100013497,2
100013499,2
100013501,2
100013503,2
100013504,2
100013508,2
100013509,2
100013510,2
100013512,2
100013518,2
100013521,2
100013522,2
100013523,2
100013524,2
100013525,2
100013526,2
100013528,2
100013529,2
100013534,2
