Option ID,Care Label
100003767,2
100003768,2
100003771,2
100003779,2
100003827,2
100003828,2
100003829,2
100003830,2
100003831,2
100003874,2
100003879,2
100003885,2
100003929,2
100003930,2
100003931,2
100003932,2
100003944,2
100003945,2
100003958,2
100003961,2
100003963,2
100003997,2
100003998,2
100004016,2
100004032,2
100004033,2
100004039,2
100004054,2
100004057,2
100004058,2
100004059,2
100004063,2
100004078,2
100004085,2
100004109,2
100004117,2
100004119,2
100004120,2
100004121,2
100004122,2
100004123,2
100004127,2
100004128,2
100004129,2
100004138,2
100004156,2
100004160,2
100004168,2
100004169,2
100004170,2
