Option ID,Care Label
100012096,2
100012155,2
100012295,2
100012543,2
100012562,2
100012566,2
100012594,2
100012603,2
100012637,2
100012678,2
100012684,2
100012685,2
100012729,2
100012767,2
100012777,2
100012800,2
100012806,2
100012809,2
100012813,2
100012819,2
100012850,2
100012853,2
100012944,2
100012945,2
100012946,2
100012993,2
100013018,2
100013023,2
100013112,2
100013157,2
100013166,2
100013170,2
100013177,2
100013227,2
100013228,2
100013230,2
100013231,2
100013232,2
100013234,2
100013236,2
100013239,2
100013241,2
100013243,2
100013244,2
100013245,2
100013246,2
100013248,2
100013249,2
100013250,2
100013251,2
