Option ID,Care Label
100014376,2
100014380,2
100014390,2
100014391,2
100014396,2
100014397,2
100014399,2
100014404,2
100014405,2
100014407,2
100014408,2
100014409,2
100014410,2
100014411,2
100014412,2
100014413,2
100014414,2
100014415,2
100014416,2
100014417,2
100014418,2
100014419,2
100014420,2
100014422,2
100014424,2
100014425,2
100014428,2
100014429,2
100014431,2
100014433,2
100014434,2
100014435,2
100014436,2
100014437,2
100014438,2
100014439,2
100014440,2
100014441,2
100014442,2
100014443,2
100014444,2
100014445,2
100014446,2
100014448,2
100014449,2
100014450,2
100014452,2
100014453,2
100014454,2
100014455,2
