Option ID,Care Label
100013962,2
100013963,2
100013966,2
100013967,2
100013968,2
100013969,2
100013970,2
100013971,2
100013973,2
100013975,2
100013976,2
100013977,2
100013978,2
100013980,2
100013981,2
100013982,2
100013983,2
100013984,2
100013985,2
100013987,2
100013990,2
100013991,2
100013992,2
100013994,2
100013995,2
100013996,2
100013997,2
100013999,2
100014000,2
100014002,2
100014003,2
100014007,2
100014008,2
100014009,2
100014014,2
100014015,2
100014017,2
100014019,2
100014020,2
100014021,2
100014022,2
100014025,2
100014026,2
100014027,2
100014028,2
100014029,2
100014033,2
100014036,2
100014039,2
100014040,2
