Option ID,Care Label
100015254,2
100015256,2
100015260,2
100015261,2
100015262,2
100015263,2
100015264,2
100015265,2
100015271,2
100015272,2
100015273,2
100015274,2
100015278,2
100015284,2
100015287,2
100015288,2
100015290,2
100015291,2
100015292,2
100015293,2
100015294,2
100015295,2
100015296,2
100015297,2
100015298,2
100015299,2
100015303,2
100015304,2
100015306,2
100015308,2
100015310,2
100015311,2
100015314,2
100015315,2
100015317,2
100015325,2
100015326,2
100015327,2
100015328,2
100015329,2
100015330,2
100015331,2
100015332,2
100015334,2
100015337,2
100015339,2
100015340,2
100015341,2
100015343,2
100015345,2
