Option ID,Care Label
100007177,2
100007181,2
100007182,2
100007183,2
100007186,2
100007190,2
100007192,2
100007193,2
100007194,2
100007199,2
100007221,2
100007222,2
100007223,2
100007224,2
100007233,2
100007248,2
100007249,2
100007255,2
100007256,2
100007261,2
100007262,2
100007263,2
100007267,2
100007268,2
100007269,2
100007273,2
100007274,2
100007279,2
100007280,2
100007293,2
100007310,2
100007311,2
100007319,2
100007332,2
100007333,2
100007338,2
100007347,2
100007348,2
100007349,2
100007350,2
100007351,2
100007352,2
100007367,2
100007368,2
100007369,2
100007372,2
100007376,2
100007377,2
100007378,2
100007383,2
