Option ID,Care Label
100015073,2
100015074,2
100015075,2
100015076,2
100015078,2
100015079,2
100015080,2
100015083,2
100015086,2
100015088,2
100015089,2
100015092,2
100015093,2
100015094,2
100015096,2
100015098,2
100015099,2
100015100,2
100015101,2
100015102,2
100015103,2
100015104,2
100015105,2
100015106,2
100015107,2
100015108,2
100015109,2
100015110,2
100015114,2
100015125,2
100015136,2
100015138,2
100015139,2
100015140,2
100015141,2
100015142,2
100015143,2
100015144,2
100015147,2
100015148,2
100015149,2
100015153,2
100015154,2
100015155,2
100015156,2
100015158,2
100015159,2
100015161,2
100015162,2
100015163,2
