Option ID,Care Label
100014303,2
100014304,2
100014305,2
100014306,2
100014309,2
100014310,2
100014313,2
100014314,2
100014317,2
100014318,2
100014319,2
100014320,2
100014321,2
100014323,2
100014325,2
100014326,2
100014327,2
100014328,2
100014335,2
100014336,2
100014337,2
100014338,2
100014339,2
100014340,2
100014341,2
100014343,2
100014344,2
100014345,2
100014346,2
100014347,2
100014349,2
100014350,2
100014352,2
100014353,2
100014354,2
100014355,2
100014357,2
100014358,2
100014359,2
100014361,2
100014364,2
100014365,2
100014366,2
100014367,2
100014368,2
100014369,2
100014370,2
100014371,2
100014372,2
100014374,2
