Option ID,Care Label
100013808,2
100013809,2
100013811,2
100013812,2
100013813,2
100013814,2
100013815,2
100013816,2
100013817,2
100013818,2
100013819,2
100013820,2
100013821,2
100013823,2
100013825,2
100013826,2
100013827,2
100013828,2
100013829,2
100013832,2
100013833,2
100013834,2
100013835,2
100013836,2
100013840,2
100013841,2
100013842,2
100013843,2
100013845,2
100013846,2
100013849,2
100013850,2
100013852,2
100013853,2
100013854,2
100013855,2
100013856,2
100013857,2
100013858,2
100013861,2
100013862,2
100013866,2
100013867,2
100013869,2
100013872,2
100013873,2
100013877,2
100013878,2
100013879,2
100013880,2
