Option ID,Care Label
100001513,2
100001522,2
100001533,2
100001547,2
100001549,2
100001550,2
100001576,2
100001577,2
100001578,2
100001579,2
100001592,2
100001598,2
100001627,2
100001633,2
100001645,2
100001646,2
100001647,2
100001648,2
100001655,2
100001671,2
100001672,2
100001716,2
100001723,2
100001725,2
100001726,2
100001739,2
100001742,2
100001775,2
100001776,2
100001780,2
100001782,2
100001816,2
100001817,2
100001818,2
100001819,2
100001820,2
100001821,2
100001822,2
100001828,2
100001836,2
100001837,2
100001838,2
100001848,2
100001877,2
100001891,2
100001894,2
100001903,2
100001906,2
100001910,2
100001918,2
