ACTION,Option ID,SKU,Brand Size,Barcode Type,Barcode,Primary Ind
New,131853793,131853829,S,EAN13,2200002332347,Y
New,131853794,131853833,S,EAN13,2200002332354,Y
New,131853795,131853837,S,EAN13,2200002332361,Y
New,131853796,131853841,S,EAN13,2200002332378,Y
New,131853797,131853845,S,EAN13,2200002332385,Y
New,131853798,131853849,S,EAN13,2200002332392,Y
New,131863786,131864526,S,EAN13,2200002332408,Y
New,131897877,131897907,S,EAN13,2200002332415,Y
New,131897878,131897913,S,EAN13,2200002332422,Y
New,131897879,131897919,S,EAN13,2200002332439,Y
New,131897880,131897925,S,EAN13,2200002332446,Y
New,131897881,131897931,S,EAN13,2200002332453,Y
New,131897882,131897937,S,EAN13,2200002332460,Y
New,131897883,131897943,S,EAN13,2200002332477,Y
New,131897884,131897949,S,EAN13,2200002332484,Y
New,131897885,131897955,S,EAN13,2200002332491,Y
New,131897886,131897961,S,EAN13,2200002332507,Y
New,131897887,131897967,S,EAN13,2200002332514,Y
New,131897888,131897973,S,EAN13,2200002332521,Y
New,131897889,131897979,S,EAN13,2200002332538,Y
New,131897890,131897985,S,EAN13,2200002332545,Y
New,131897891,131897991,S,EAN13,2200002332552,Y
New,131897892,131897997,S,EAN13,2200002332569,Y
New,131897893,131898003,S,EAN13,2200002332576,Y
New,131897894,131898009,S,EAN13,2200002332583,Y
New,131897895,131898015,S,EAN13,2200002332590,Y
New,131897896,131898021,S,EAN13,2200002332606,Y
New,131897897,131898027,S,EAN13,2200002332613,Y
New,131897898,131898033,S,EAN13,2200002332620,Y
New,131897899,131898039,S,EAN13,2200002332637,Y
New,131897900,131898045,S,EAN13,2200002332644,Y
New,131897901,131898051,S,EAN13,2200002332651,Y
New,131897902,131898057,S,EAN13,2200002332668,Y
New,131897903,131898063,S,EAN13,2200002332675,Y
New,131897904,131898069,S,EAN13,2200002332682,Y
New,131897905,131898075,S,EAN13,2200002332699,Y
New,131905153,131908792,S,EAN13,2200002332705,Y
New,131918909,131918913,S,EAN13,2200002332712,Y
New,131923795,131923860,S,EAN13,2200002332729,Y
New,131923796,131924170,S,EAN13,2200002332736,Y
New,131923797,131928787,S,EAN13,2200002332743,Y
New,131923798,131938833,S,EAN13,2200002332750,Y
New,131923799,131938847,S,EAN13,2200002332767,Y
New,131923801,131923845,S,EAN13,2200002332774,Y
New,131923887,131924019,S,EAN13,2200002332781,Y
New,131923888,131924023,S,EAN13,2200002332798,Y
New,131923889,131924026,S,EAN13,2200002332804,Y
New,131923899,131924082,S,EAN13,2200002332828,Y
New,131923911,131924161,S,EAN13,2200002332842,Y
New,131923912,131924165,S,EAN13,2200002332859,Y
New,131968832,131968855,S,EAN13,2200002332873,Y
New,131968834,131968870,S,EAN13,2200002332910,Y
New,131968836,131968885,S,EAN13,2200002332965,Y
New,131968838,131968899,S,EAN13,2200002332996,Y
New,131968840,131968913,S,EAN13,2200002334273,Y
New,131968842,131968928,S,EAN13,2200002334297,Y
New,131968948,132188070,S,EAN13,2200002334303,Y
New,131978810,131978980,S,EAN13,2200002334327,Y
New,132003786,132003844,S,EAN13,2200002334341,Y
New,132003788,132003854,S,EAN13,2200002334365,Y
New,132003789,132003859,S,EAN13,2200002334372,Y
New,132003791,132003869,S,EAN13,2200002334396,Y
New,132003793,132003879,S,EAN13,2200002334419,Y
New,132003795,132003889,S,EAN13,2200002334433,Y
New,132003796,132003894,S,EAN13,2200002334440,Y
New,132003798,132003904,S,EAN13,2200002334464,Y
New,132003800,132003914,S,EAN13,2200002334488,Y
New,132003802,132003924,S,EAN13,2200002334501,Y
New,132003803,132003929,S,EAN13,2200002334518,Y
New,132003805,132003939,S,EAN13,2200002334532,Y
New,132003807,132003949,S,EAN13,2200002334556,Y
New,132003809,132003959,S,EAN13,2200002334570,Y
New,132003810,132003964,S,EAN13,2200002334587,Y
New,132003812,132003974,S,EAN13,2200002334600,Y
New,132003814,132003984,S,EAN13,2200002334624,Y
New,132003815,132003989,S,EAN13,2200002334631,Y
New,132003817,132003999,S,EAN13,2200002334655,Y
New,132003819,132004009,S,EAN13,2200002334679,Y
New,132003821,132004019,S,EAN13,2200002334693,Y
New,132023847,132024044,S,EAN13,2200002334709,Y
New,132023849,132024056,S,EAN13,2200002334723,Y
New,132023851,132024068,S,EAN13,2200002334747,Y
New,132023853,132024080,S,EAN13,2200002334761,Y
New,132023854,132024086,S,EAN13,2200002334778,Y
New,132023856,132024098,S,EAN13,2200002334792,Y
New,132023858,132024110,S,EAN13,2200002334815,Y
New,132023860,132024122,S,EAN13,2200002334839,Y
New,132023861,132024128,S,EAN13,2200002334846,Y
New,132023863,132024140,S,EAN13,2200002334860,Y
New,132023865,132024152,S,EAN13,2200002334884,Y
New,132023867,132024164,S,EAN13,2200002334907,Y
New,132023868,132024170,S,EAN13,2200002334914,Y
New,132023870,132024182,S,EAN13,2200002334938,Y
New,132023872,132024194,S,EAN13,2200002334952,Y
New,132023874,132024206,S,EAN13,2200002334976,Y
New,132023875,132024212,S,EAN13,2200002334983,Y
New,132023877,132024224,S,EAN13,2200002335003,Y
New,132023879,132024236,S,EAN13,2200002335027,Y
New,132023880,132024242,S,EAN13,2200002335034,Y
New,132023882,132024254,S,EAN13,2200002335058,Y
