ACTION,Option ID,SKU,Brand Size,Barcode Type,Barcode,Primary Ind
New,132801984,132802142,S,EAN13,2200002415712,Y
New,132801986,132802158,S,EAN13,2200002415736,Y
New,132801989,132802182,S,EAN13,2200002415767,Y
New,132801991,132802198,S,EAN13,2200002415781,Y
New,132801993,132802212,S,EAN13,2200002415804,Y
New,132801996,132802235,S,EAN13,2200002415835,Y
New,132801998,132802248,S,EAN13,2200002415859,Y
New,132802001,132802271,S,EAN13,2200002415880,Y
New,132802003,132802286,S,EAN13,2200002415903,Y
New,132802005,132802302,S,EAN13,2200002415927,Y
New,132802008,132802323,S,EAN13,2200002415958,Y
New,132802010,132802338,S,EAN13,2200002415972,Y
New,132802012,132802352,S,EAN13,2200002415996,Y
New,132802015,132802374,S,EAN13,2200002416023,Y
New,132802017,132802390,S,EAN13,2200002416047,Y
New,132802019,132802406,S,EAN13,2200002416061,Y
New,132802955,132805377,S,EAN13,2200002416092,Y
New,132802957,132805396,S,EAN13,2200002416115,Y
New,132802959,132805371,S,EAN13,2200002416139,Y
New,132802962,132805383,S,EAN13,2200002416160,Y
New,132802964,132802967,S,EAN13,2200002416184,Y
New,132805533,132861174,S,EAN13,2200002416214,Y
New,132805550,132861390,S,EAN13,2200002416238,Y
New,132805557,132862653,S,EAN13,2200002416252,Y
New,132805565,132861621,S,EAN13,2200002416283,Y
New,132805571,132861950,S,EAN13,2200002416306,Y
New,133244608,133244610,S,EAN13,2200002450218,Y
New,133244727,133244736,S,EAN13,2200002450256,Y
New,133244729,133244744,S,EAN13,2200002450270,Y
New,133244784,133244796,S,EAN13,2200002450294,Y
New,133244787,133244811,S,EAN13,2200002450324,Y
New,133244789,133244821,S,EAN13,2200002450348,Y
New,133244793,133244841,S,EAN13,2200002450362,Y
New,133244870,133245037,S,EAN13,2200002450393,Y
New,133244901,133245197,S,EAN13,2200002450416,Y
New,133244913,133245251,S,EAN13,2200002450447,Y
New,133245264,133245266,S,EAN13,2200002450461,Y
New,133245273,133245313,S,EAN13,2200002450485,Y
New,133245278,133245384,S,EAN13,2200002450515,Y
New,133245282,133245376,S,EAN13,2200002450539,Y
New,133245409,133245423,S,EAN13,2200002450553,Y
New,133245412,133245435,S,EAN13,2200002450584,Y
New,133245414,133245443,S,EAN13,2200002450607,Y
New,133245416,133245451,S,EAN13,2200002450621,Y
New,133246283,133246298,S,EAN13,2200002450652,Y
New,133246285,133246310,S,EAN13,2200002450676,Y
New,133246287,133246322,S,EAN13,2200002450690,Y
New,133246290,133246340,S,EAN13,2200002450720,Y
New,133246522,133246550,S,EAN13,2200002450744,Y
New,133246528,133246607,S,EAN13,2200002450775,Y
New,133246530,133246621,S,EAN13,2200002450799,Y
New,133246537,133246679,S,EAN13,2200002450812,Y
New,133246711,133246729,S,EAN13,2200002450843,Y
New,133246713,133246741,S,EAN13,2200002450867,Y
New,133246715,133246753,S,EAN13,2200002450881,Y
New,133246718,133246771,S,EAN13,2200002450911,Y
New,133246720,133246783,S,EAN13,2200002450935,Y
New,133246789,133246808,S,EAN13,2200002450959,Y
New,133254534,133254693,S,EAN13,2200002451550,Y
New,133254536,133254707,S,EAN13,2200002451574,Y
New,133254539,133254728,S,EAN13,2200002451604,Y
New,133254541,133254742,S,EAN13,2200002451628,Y
New,133254543,133254756,S,EAN13,2200002451642,Y
New,133254546,133254777,S,EAN13,2200002451673,Y
New,133254548,133254791,S,EAN13,2200002451697,Y
New,133254550,133254805,S,EAN13,2200002451710,Y
New,133254553,133254826,S,EAN13,2200002451741,Y
New,133254555,133254840,S,EAN13,2200002451765,Y
New,133254559,133254861,S,EAN13,2200002451796,Y
New,133254929,133254957,S,EAN13,2200002451819,Y
New,133254931,133254973,S,EAN13,2200002451833,Y
New,133254934,133254997,S,EAN13,2200002451864,Y
New,133254936,133255013,S,EAN13,2200002451888,Y
New,133254938,133255029,S,EAN13,2200002451901,Y
New,133254941,133255053,S,EAN13,2200002451932,Y
New,133254943,133255069,S,EAN13,2200002451956,Y
New,133254945,133255085,S,EAN13,2200002451970,Y
New,133255848,133255883,S,EAN13,2200002452007,Y
New,133255850,133255899,S,EAN13,2200002452021,Y
New,133255852,133255915,S,EAN13,2200002452045,Y
New,133255855,133255939,S,EAN13,2200002452076,Y
New,133255857,133255955,S,EAN13,2200002452090,Y
New,133255860,133255979,S,EAN13,2200002452120,Y
New,133255862,133255995,S,EAN13,2200002452144,Y
New,133256377,133256511,S,EAN13,2200002452168,Y
New,133256380,133256526,S,EAN13,2200002452199,Y
New,133256382,133256536,S,EAN13,2200002452212,Y
New,133256384,133256547,S,EAN13,2200002452236,Y
New,133256387,133256563,S,EAN13,2200002452267,Y
New,133256389,133256573,S,EAN13,2200002452281,Y
New,133256391,133256583,S,EAN13,2200002452304,Y
New,133256394,133256598,S,EAN13,2200002452335,Y
New,133256396,133256608,S,EAN13,2200002452359,Y
New,133256398,133256618,S,EAN13,2200002452373,Y
New,133256401,133256633,S,EAN13,2200002452403,Y
New,133256403,133256643,S,EAN13,2200002452427,Y
New,133256405,133256653,S,EAN13,2200002452441,Y
New,133256408,133256668,S,EAN13,2200002452472,Y
New,133256410,133256678,S,EAN13,2200002452496,Y
New,133256413,133256693,S,EAN13,2200002452526,Y
