ACTION,Option ID,SKU,Brand Size,Barcode Type,Barcode,Primary Ind
New,132145739,132145805,S,EAN13,2200002342902,Y
New,132145740,132145812,S,EAN13,2200002342926,Y
New,132145742,132145826,S,EAN13,2200002342964,Y
New,132145744,132145840,S,EAN13,2200002342995,Y
New,132145746,132145854,S,EAN13,2200002343015,Y
New,132145747,132145861,S,EAN13,2200002343022,Y
New,132145749,132145875,S,EAN13,2200002343046,Y
New,132145751,132145889,S,EAN13,2200002343060,Y
New,132145753,132145903,S,EAN13,2200002343084,Y
New,132145754,132145910,S,EAN13,2200002343091,Y
New,132145756,132145924,S,EAN13,2200002343114,Y
New,132145758,132145938,S,EAN13,2200002343138,Y
New,132145760,132145952,S,EAN13,2200002343152,Y
New,132159278,132159280,S,EAN13,2200002343169,Y
New,132159549,132159567,S,EAN13,2200002343183,Y
New,132159573,132159767,S,EAN13,2200002343206,Y
New,132159575,132159779,S,EAN13,2200002343220,Y
New,132159576,132159785,S,EAN13,2200002343237,Y
New,132159578,132159797,S,EAN13,2200002343251,Y
New,132159580,132159809,S,EAN13,2200002343275,Y
New,132159587,132159829,S,EAN13,2200002343299,Y
New,132159589,132159840,S,EAN13,2200002343305,Y
New,132159592,132159857,S,EAN13,2200002343329,Y
New,132159594,132159869,S,EAN13,2200002343343,Y
New,132159595,132159875,S,EAN13,2200002343350,Y
New,132159600,132159908,S,EAN13,2200002343374,Y
New,132159603,132159927,S,EAN13,2200002343398,Y
New,132159618,132159996,S,EAN13,2200002343411,Y
New,132159622,132160023,S,EAN13,2200002343428,Y
New,132159624,132160035,S,EAN13,2200002343442,Y
New,132159626,132160047,S,EAN13,2200002343466,Y
New,132160569,132160609,S,EAN13,2200002343480,Y
New,132160700,132160704,S,EAN13,2200002343497,Y
New,132160928,132160959,S,EAN13,2200002343510,Y
New,132160930,132160969,S,EAN13,2200002343534,Y
New,132160932,132160979,S,EAN13,2200002343558,Y
New,132160933,132160984,S,EAN13,2200002343565,Y
New,132160935,132160994,S,EAN13,2200002343589,Y
New,132160937,132161004,S,EAN13,2200002343602,Y
New,132160939,132161014,S,EAN13,2200002343626,Y
New,132160940,132161019,S,EAN13,2200002343633,Y
New,132160942,132161029,S,EAN13,2200002343657,Y
New,132161104,132161224,S,EAN13,2200002343671,Y
New,132161293,132161329,S,EAN13,2200002343688,Y
New,132161295,132161343,S,EAN13,2200002343701,Y
New,132161298,132161384,S,EAN13,2200002343725,Y
New,132161300,132161407,S,EAN13,2200002343749,Y
New,132161301,132161420,S,EAN13,2200002343756,Y
New,132161303,132161440,S,EAN13,2200002343770,Y
New,132161305,132161455,S,EAN13,2200002343794,Y
New,132162652,132162732,S,EAN13,2200002343817,Y
New,132162653,132162736,S,EAN13,2200002343824,Y
New,132162888,132162944,S,EAN13,2200002343848,Y
New,132162890,132162956,S,EAN13,2200002343862,Y
New,132162892,132162968,S,EAN13,2200002343886,Y
New,132162893,132162974,S,EAN13,2200002343893,Y
New,132162901,132162986,S,EAN13,2200002343916,Y
New,132163035,132163039,S,EAN13,2200002343930,Y
New,132163056,132163068,S,EAN13,2200002343954,Y
New,132163080,132163102,S,EAN13,2200002343961,Y
New,132163082,132163117,S,EAN13,2200002343985,Y
New,132163084,132163122,S,EAN13,2200002344005,Y
New,132163566,132163576,S,EAN13,2200002344012,Y
New,132163589,132163607,S,EAN13,2200002344036,Y
New,132163832,132164468,S,EAN13,2200002344050,Y
New,132174194,132174230,S,EAN13,2200002344074,Y
New,132174195,132174313,S,EAN13,2200002344081,Y
New,132174197,132174446,S,EAN13,2200002344104,Y
New,132174199,132174320,S,EAN13,2200002344128,Y
New,132174497,132174762,S,EAN13,2200002344142,Y
New,132174505,132174825,S,EAN13,2200002344159,Y
New,132174549,132175089,S,EAN13,2200002344173,Y
New,132174558,132175152,S,EAN13,2200002344197,Y
New,132175384,132175387,S,EAN13,2200002344210,Y
New,132175436,132176413,S,EAN13,2200002344227,Y
New,132175438,132175767,S,EAN13,2200002344241,Y
New,132175440,132176401,S,EAN13,2200002344265,Y
New,132175720,132175760,S,EAN13,2200002344289,Y
New,132175721,132175869,S,EAN13,2200002344296,Y
New,132175722,132175895,S,EAN13,2200002344302,Y
New,132175723,132175913,S,EAN13,2200002344319,Y
New,132175724,132176066,S,EAN13,2200002344326,Y
New,132175725,132176080,S,EAN13,2200002344333,Y
New,132175726,132176087,S,EAN13,2200002344340,Y
New,132175727,132176094,S,EAN13,2200002344357,Y
New,132175777,132175818,S,EAN13,2200002344364,Y
New,132175778,132175825,S,EAN13,2200002344371,Y
New,132175779,132175832,S,EAN13,2200002344388,Y
New,132175780,132175811,S,EAN13,2200002344395,Y
New,132175781,132175785,S,EAN13,2200002344401,Y
New,132175837,132175863,S,EAN13,2200002344418,Y
New,132175838,132175846,S,EAN13,2200002344425,Y
New,132175839,132175850,S,EAN13,2200002344432,Y
New,132175840,132175854,S,EAN13,2200002344449,Y
New,132175841,132175908,S,EAN13,2200002344456,Y
New,132175842,132175919,S,EAN13,2200002344463,Y
New,132175843,132175930,S,EAN13,2200002344470,Y
New,132175844,132175941,S,EAN13,2200002344487,Y
New,132175858,132175878,S,EAN13,2200002344494,Y
New,132175859,132175902,S,EAN13,2200002344500,Y
