Option ID,Element,Fibre,Percentage
138236798,1,AB,100
138236800,1,AB,100
138236807,1,AB,100
138252057,1,AB,100
138252464,1,AB,100
138256269,1,AB,100
138256566,1,AB,100
138256695,1,AB,100
138256698,1,AB,100
138256868,1,AB,100
138173453,1,AB,100
138174350,1,AB,100
138174549,1,AB,100
138174561,1,AB,100
138174563,1,AB,100
138174566,1,AB,100
138174567,1,AB,100
138174575,1,AB,100
138174852,1,AB,100
138174893,1,AB,100
138188495,1,AB,100
138200792,1,AB,100
138201240,1,AB,100
138201250,1,AB,100
138201256,1,AB,100
138201424,1,AB,100
138201437,1,AB,100
138201746,1,AB,100
138202511,1,AB,100
138226091,1,AB,100
138226105,1,AB,100
138226656,1,AB,100
138226657,1,AB,100
138226827,1,AB,100
138226834,1,AB,100
138227525,1,AB,100
138236543,1,AB,100
138236750,1,AB,100
138236774,1,AB,100
138236781,1,AB,100
138236789,1,AB,100
138236791,1,AB,100
138236799,1,AB,100
138251907,1,AB,100
138252060,1,AB,100
138252369,1,AB,100
138252370,1,AB,100
138252465,1,AB,100
138252679,1,AB,100
138252680,1,AB,100
