Option ID,Element,Fibre,Percentage
138256814,1,AB,100
138174349,1,AB,100
138174558,1,AB,100
138174570,1,AB,100
138174571,1,AB,100
138174574,1,AB,100
138174853,1,AB,100
138174854,1,AB,100
138181275,1,AB,100
138188563,1,AB,100
138200827,1,AB,100
138201243,1,AB,100
138201249,1,AB,100
138201260,1,AB,100
138201416,1,AB,100
138201422,1,AB,100
138201427,1,AB,100
138201442,1,AB,100
138201740,1,AB,100
138202067,1,AB,100
138202512,1,AB,100
138205750,1,AB,100
138226095,1,AB,100
138226101,1,AB,100
138226104,1,AB,100
138226106,1,AB,100
138226838,1,AB,100
138227048,1,AB,100
138227528,1,AB,100
138227530,1,AB,100
138232533,1,AB,100
138236575,1,AB,100
138236753,1,AB,100
138236771,1,AB,100
138236788,1,AB,100
138236801,1,AB,100
138236804,1,AB,100
138237694,1,AB,100
138256693,1,AB,100
138256942,1,AB,100
138173539,1,AB,100
138174553,1,AB,100
138174572,1,AB,100
138174576,1,AB,100
138181276,1,AB,100
138181277,1,AB,100
138181726,1,AB,100
138188529,1,AB,100
138188549,1,AB,100
138200786,1,AB,100
