Option ID,Element,Fibre,Percentage
138173533,1,AB,100
138173537,1,AB,100
138173538,1,AB,100
138173543,1,AB,100
138174555,1,AB,100
138174560,1,AB,100
138174568,1,AB,100
138181713,1,AB,100
138181727,1,AB,100
138186247,1,AB,100
138187989,1,AB,100
138188193,1,AB,100
138201241,1,AB,100
138201242,1,AB,100
138201245,1,AB,100
138201429,1,AB,100
138201431,1,AB,100
138201436,1,AB,100
138202142,1,AB,100
138202426,1,AB,100
138202427,1,AB,100
138202507,1,AB,100
138205760,1,AB,100
138226092,1,AB,100
138226100,1,AB,100
138226108,1,AB,100
138226111,1,AB,100
138226421,1,AB,100
138226425,1,AB,100
138226818,1,AB,100
138226819,1,AB,100
138226822,1,AB,100
138226824,1,AB,100
138226826,1,AB,100
138226835,1,AB,100
138226837,1,AB,100
138227364,1,AB,100
138227531,1,AB,100
138227748,1,AB,100
138227749,1,AB,100
138236732,1,AB,100
138236733,1,AB,100
138236741,1,AB,100
138236742,1,AB,100
138236744,1,AB,100
138236765,1,AB,100
138236768,1,AB,100
138236769,1,AB,100
138236794,1,AB,100
138236797,1,AB,100
