Option ID,Element,Fibre,Percentage
138201419,1,AB,100
138201434,1,AB,100
138201440,1,AB,100
138201443,1,AB,100
138201738,1,AB,100
138202143,1,AB,100
138202240,1,AB,100
138202505,1,AB,100
138226049,1,AB,100
138226112,1,AB,100
138226429,1,AB,100
138226430,1,AB,100
138226821,1,AB,100
138226828,1,AB,100
138226830,1,AB,100
138226832,1,AB,100
138226840,1,AB,100
138227590,1,AB,100
138227591,1,AB,100
138227874,1,AB,100
138236751,1,AB,100
138236758,1,AB,100
138236763,1,AB,100
138236772,1,AB,100
138236776,1,AB,100
138236780,1,AB,100
138236782,1,AB,100
138236784,1,AB,100
138236787,1,AB,100
138236805,1,AB,100
138252040,1,AB,100
138256692,1,AB,100
138173534,1,AB,100
138174559,1,AB,100
138174564,1,AB,100
138181725,1,AB,100
138181728,1,AB,100
138188503,1,AB,100
138201188,1,AB,100
138201257,1,AB,100
138201435,1,AB,100
138201438,1,AB,100
138201719,1,AB,100
138202513,1,AB,100
138226090,1,AB,100
138226096,1,AB,100
138226097,1,AB,100
138226099,1,AB,100
138226102,1,AB,100
138226103,1,AB,100
