Option ID,Element,Fibre,Percentage
138201239,1,AB,100
138201246,1,AB,100
138201247,1,AB,100
138201259,1,AB,100
138201428,1,AB,100
138201430,1,AB,100
138201720,1,AB,100
138202108,1,AB,100
138202424,1,AB,100
138205859,1,AB,100
138226098,1,AB,100
138226423,1,AB,100
138226428,1,AB,100
138226431,1,AB,100
138226820,1,AB,100
138226823,1,AB,100
138227871,1,AB,100
138227872,1,AB,100
138227875,1,AB,100
138236734,1,AB,100
138236738,1,AB,100
138236743,1,AB,100
138236764,1,AB,100
138236775,1,AB,100
138236790,1,AB,100
138236803,1,AB,100
138252367,1,AB,100
138252684,1,AB,100
138252688,1,AB,100
138256271,1,AB,100
138256565,1,AB,100
138256694,1,AB,100
138256696,1,AB,100
138256936,1,AB,100
138173542,1,AB,100
138173778,1,AB,100
138173779,1,AB,100
138173790,1,AB,100
138174548,1,AB,100
138174550,1,AB,100
138174551,1,AB,100
138174813,1,AB,100
138174895,1,AB,100
138176241,1,AB,100
138176346,1,AB,100
138200874,1,AB,100
138200875,1,AB,100
138201244,1,AB,100
138201248,1,AB,100
138201252,1,AB,100
