Option ID,Element,Fibre,Percentage
138201258,1,AB,100
138201423,1,AB,100
138201425,1,AB,100
138201433,1,AB,100
138201439,1,AB,100
138226093,1,AB,100
138226109,1,AB,100
138226829,1,AB,100
138226833,1,AB,100
138226836,1,AB,100
138227351,1,AB,100
138227529,1,AB,100
138236553,1,AB,100
138236735,1,AB,100
138236736,1,AB,100
138236737,1,AB,100
138236739,1,AB,100
138236745,1,AB,100
138236746,1,AB,100
138236747,1,AB,100
138236754,1,AB,100
138236755,1,AB,100
138236757,1,AB,100
138236766,1,AB,100
138236770,1,AB,100
138236806,1,AB,100
138251906,1,AB,100
138251999,1,AB,100
138252039,1,AB,100
138252466,1,AB,100
138252574,1,AB,100
138252682,1,AB,100
138252687,1,AB,100
138252690,1,AB,100
138256697,1,AB,100
138256805,1,AB,100
138256940,1,AB,100
138173789,1,AB,100
138174418,1,AB,100
138174552,1,AB,100
138174554,1,AB,100
138174556,1,AB,100
138174557,1,AB,100
138174565,1,AB,100
138174894,1,AB,100
138200876,1,AB,100
138201251,1,AB,100
138201253,1,AB,100
138201254,1,AB,100
138201415,1,AB,100
