Promo ID,Component ID,Time Based Dtl,Dtl Start Date,Dtl Start Time,Dtl End Date,Dtl End Time,Product Group ,Category,Sub-Category,Option ID,Zone Group,Zone ,Change Type,Change Amount,Change Percent,Price Guide,Auto-Approve
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000210,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000220,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000248,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000275,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000283,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000313,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000328,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000343,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000359,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000368,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000373,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000389,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000393,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000397,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000400,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000401,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000461,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000554,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000579,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000652,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000653,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000704,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000813,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000897,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000900,2,99,0,,-25,Y,Y
198031,94292,1,01/12/2025,02:00,08/12/2025,08:00,,,,100000908,2,99,0,,-25,Y,Y
