New/Maintain,Pricing Method,Zone Group,Base Zone,Zones,Product Group,Category,Sub-Category,Business Model,Buying Group,Buying Sub-Group,Buying Set,Brand,Base Zone Price,Base Zone Currency,Converted Price,Converted Price Currency,Conversion Factor,Reprice Existing
New,1,2,99,99,,,,,,,,A BEAUTIFU,1,GBP,1,GBP,,N
New,1,2,99,100,,,,,,,,A BEAUTIFU,1,GBP,1,GBP,,N
New,1,2,99,101,,,,,,,,A BEAUTIFU,1,GBP,1,GBP,,N
New,1,2,99,102,,,,,,,,A BEAUTIFU,1,GBP,2,USD,,N
New,1,2,99,103,,,,,,,,A BEAUTIFU,1,GBP,1.12,EUR,,N
New,1,2,99,104,,,,,,,,A BEAUTIFU,1,GBP,1.12,EUR,,N
New,1,2,99,105,,,,,,,,A BEAUTIFU,1,GBP,1.12,EUR,,N
New,1,2,99,106,,,,,,,,A BEAUTIFU,1,GBP,1.12,EUR,,N
New,1,2,99,107,,,,,,,,A BEAUTIFU,1,GBP,85,RUB,,N
New,1,2,99,108,,,,,,,,A BEAUTIFU,1,GBP,2,AUD,,N
New,1,2,99,109,,,,,,,,A BEAUTIFU,1,GBP,1.12,EUR,,N
New,1,2,99,110,,,,,,,,A BEAUTIFU,1,GBP,12,SEK,,N
New,1,2,99,111,,,,,,,,A BEAUTIFU,1,GBP,1.12,EUR,,N
New,1,2,99,99,,,,,,,,A BEAUTIFU,2,GBP,2,GBP,,N
New,1,2,99,100,,,,,,,,A BEAUTIFU,2,GBP,2,GBP,,N
New,1,2,99,101,,,,,,,,A BEAUTIFU,2,GBP,2,GBP,,N
New,1,2,99,102,,,,,,,,A BEAUTIFU,2,GBP,4,USD,,N
New,1,2,99,103,,,,,,,,A BEAUTIFU,2,GBP,2.22,EUR,,N
New,1,2,99,104,,,,,,,,A BEAUTIFU,2,GBP,2.22,EUR,,N
New,1,2,99,105,,,,,,,,A BEAUTIFU,2,GBP,2.22,EUR,,N
New,1,2,99,106,,,,,,,,A BEAUTIFU,2,GBP,2.22,EUR,,N
New,1,2,99,107,,,,,,,,A BEAUTIFU,2,GBP,170,RUB,,N
New,1,2,99,108,,,,,,,,A BEAUTIFU,2,GBP,4,AUD,,N
New,1,2,99,109,,,,,,,,A BEAUTIFU,2,GBP,2.22,EUR,,N
New,1,2,99,110,,,,,,,,A BEAUTIFU,2,GBP,24,SEK,,N
New,1,2,99,111,,,,,,,,A BEAUTIFU,2,GBP,2.22,EUR,,N
New,1,2,99,99,,,,,,,,ASHLEA BAKER,1,GBP,1,GBP,,N
New,1,2,99,100,,,,,,,,ASHLEA BAKER,1,GBP,1,GBP,,N
New,1,2,99,101,,,,,,,,ASHLEA BAKER,1,GBP,1,GBP,,N
New,1,2,99,102,,,,,,,,ASHLEA BAKER,1,GBP,2,USD,,N
New,1,2,99,103,,,,,,,,ASHLEA BAKER,1,GBP,1.12,EUR,,N
New,1,2,99,104,,,,,,,,ASHLEA BAKER,1,GBP,1.12,EUR,,N
New,1,2,99,105,,,,,,,,ASHLEA BAKER,1,GBP,1.12,EUR,,N
New,1,2,99,106,,,,,,,,ASHLEA BAKER,1,GBP,1.12,EUR,,N
New,1,2,99,107,,,,,,,,ASHLEA BAKER,1,GBP,85,RUB,,N
New,1,2,99,108,,,,,,,,ASHLEA BAKER,1,GBP,2,AUD,,N
New,1,2,99,109,,,,,,,,ASHLEA BAKER,1,GBP,1.12,EUR,,N
New,1,2,99,110,,,,,,,,ASHLEA BAKER,1,GBP,12,SEK,,N
New,1,2,99,111,,,,,,,,ASHLEA BAKER,1,GBP,1.12,EUR,,N
New,1,2,99,99,,,,,,,,ASHLEA BAKER,2,GBP,2,GBP,,N
New,1,2,99,100,,,,,,,,ASHLEA BAKER,2,GBP,2,GBP,,N
New,1,2,99,101,,,,,,,,ASHLEA BAKER,2,GBP,2,GBP,,N
New,1,2,99,102,,,,,,,,ASHLEA BAKER,2,GBP,4,USD,,N
New,1,2,99,103,,,,,,,,ASHLEA BAKER,2,GBP,2.22,EUR,,N
New,1,2,99,104,,,,,,,,ASHLEA BAKER,2,GBP,2.22,EUR,,N
New,1,2,99,105,,,,,,,,ASHLEA BAKER,2,GBP,2.22,EUR,,N
New,1,2,99,106,,,,,,,,ASHLEA BAKER,2,GBP,2.22,EUR,,N
New,1,2,99,107,,,,,,,,ASHLEA BAKER,2,GBP,170,RUB,,N
New,1,2,99,108,,,,,,,,ASHLEA BAKER,2,GBP,4,AUD,,N
New,1,2,99,109,,,,,,,,ASHLEA BAKER,2,GBP,2.22,EUR,,N
New,1,2,99,110,,,,,,,,ASHLEA BAKER,2,GBP,24,SEK,,N
New,1,2,99,111,,,,,,,,ASHLEA BAKER,2,GBP,2.22,EUR,,N
