New/Maintain,Pricing Method,Zone Group,Base Zone,Zones,Product Group,Category,Sub-Category,Business Model,Buying Group,Buying Sub-Group,Buying Set,Brand,Base Zone Price,Base Zone Currency,Converted Price,Converted Price Currency,Conversion Factor,Reprice Existing
New,1,2,99,99,,,,,,,,A WEAR,1,GBP,1,GBP,,N
New,1,2,99,100,,,,,,,,A WEAR,1,GBP,1,GBP,,N
New,1,2,99,101,,,,,,,,A WEAR,1,GBP,1,GBP,,N
New,1,2,99,102,,,,,,,,A WEAR,1,GBP,2,USD,,N
New,1,2,99,103,,,,,,,,A WEAR,1,GBP,1.12,EUR,,N
New,1,2,99,104,,,,,,,,A WEAR,1,GBP,1.12,EUR,,N
New,1,2,99,105,,,,,,,,A WEAR,1,GBP,1.12,EUR,,N
New,1,2,99,106,,,,,,,,A WEAR,1,GBP,1.12,EUR,,N
New,1,2,99,107,,,,,,,,A WEAR,1,GBP,85,RUB,,N
New,1,2,99,108,,,,,,,,A WEAR,1,GBP,2,AUD,,N
New,1,2,99,109,,,,,,,,A WEAR,1,GBP,1.12,EUR,,N
New,1,2,99,110,,,,,,,,A WEAR,1,GBP,12,SEK,,N
New,1,2,99,111,,,,,,,,A WEAR,1,GBP,1.12,EUR,,N
New,1,2,99,99,,,,,,,,A WEAR,2,GBP,2,GBP,,N
New,1,2,99,100,,,,,,,,A WEAR,2,GBP,2,GBP,,N
New,1,2,99,101,,,,,,,,A WEAR,2,GBP,2,GBP,,N
New,1,2,99,102,,,,,,,,A WEAR,2,GBP,4,USD,,N
New,1,2,99,103,,,,,,,,A WEAR,2,GBP,2.22,EUR,,N
New,1,2,99,104,,,,,,,,A WEAR,2,GBP,2.22,EUR,,N
New,1,2,99,105,,,,,,,,A WEAR,2,GBP,2.22,EUR,,N
New,1,2,99,106,,,,,,,,A WEAR,2,GBP,2.22,EUR,,N
New,1,2,99,107,,,,,,,,A WEAR,2,GBP,170,RUB,,N
New,1,2,99,108,,,,,,,,A WEAR,2,GBP,4,AUD,,N
New,1,2,99,109,,,,,,,,A WEAR,2,GBP,2.22,EUR,,N
New,1,2,99,110,,,,,,,,A WEAR,2,GBP,24,SEK,,N
New,1,2,99,111,,,,,,,,A WEAR,2,GBP,2.22,EUR,,N
New,1,2,99,99,,,,,,,,AX PARIS,1,GBP,1,GBP,,N
New,1,2,99,100,,,,,,,,AX PARIS,1,GBP,1,GBP,,N
New,1,2,99,101,,,,,,,,AX PARIS,1,GBP,1,GBP,,N
New,1,2,99,102,,,,,,,,AX PARIS,1,GBP,2,USD,,N
New,1,2,99,103,,,,,,,,AX PARIS,1,GBP,1.12,EUR,,N
New,1,2,99,104,,,,,,,,AX PARIS,1,GBP,1.12,EUR,,N
New,1,2,99,105,,,,,,,,AX PARIS,1,GBP,1.12,EUR,,N
New,1,2,99,106,,,,,,,,AX PARIS,1,GBP,1.12,EUR,,N
New,1,2,99,107,,,,,,,,AX PARIS,1,GBP,85,RUB,,N
New,1,2,99,108,,,,,,,,AX PARIS,1,GBP,2,AUD,,N
New,1,2,99,109,,,,,,,,AX PARIS,1,GBP,1.12,EUR,,N
New,1,2,99,110,,,,,,,,AX PARIS,1,GBP,12,SEK,,N
New,1,2,99,111,,,,,,,,AX PARIS,1,GBP,1.12,EUR,,N
New,1,2,99,99,,,,,,,,AX PARIS,2,GBP,2,GBP,,N
New,1,2,99,100,,,,,,,,AX PARIS,2,GBP,2,GBP,,N
New,1,2,99,101,,,,,,,,AX PARIS,2,GBP,2,GBP,,N
New,1,2,99,102,,,,,,,,AX PARIS,2,GBP,4,USD,,N
New,1,2,99,103,,,,,,,,AX PARIS,2,GBP,2.22,EUR,,N
New,1,2,99,104,,,,,,,,AX PARIS,2,GBP,2.22,EUR,,N
New,1,2,99,105,,,,,,,,AX PARIS,2,GBP,2.22,EUR,,N
New,1,2,99,106,,,,,,,,AX PARIS,2,GBP,2.22,EUR,,N
New,1,2,99,107,,,,,,,,AX PARIS,2,GBP,170,RUB,,N
New,1,2,99,108,,,,,,,,AX PARIS,2,GBP,4,AUD,,N
New,1,2,99,109,,,,,,,,AX PARIS,2,GBP,2.22,EUR,,N
New,1,2,99,110,,,,,,,,AX PARIS,2,GBP,24,SEK,,N
New,1,2,99,111,,,,,,,,AX PARIS,2,GBP,2.22,EUR,,N
