250030,"2022-09-15 08:39:53.45","#QCZ551",50.00,68.00,93.00,120.90,"2022-02-20","129298423","WH",4,,,,"","ALMA","QCZ551A1",30045,1002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250031,"2022-09-15 08:39:53.45","#QCZ552",50.00,68.00,93.00,120.90,"2022-02-20","129298413","WH",4,,,,"","ALMA","QCZ552A1",30045,4002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250032,"2022-09-15 08:39:53.45","#QCZ553",50.00,68.00,93.00,120.90,"2022-02-20","129298415","WH",4,,,,"","ALMA","QCZ553A1",30045,5002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250033,"2022-09-15 08:39:53.45","#QCZ554",50.00,68.00,93.00,120.90,"2022-02-20","129298411","WH",4,,,,"","ALMA","QCZ554A1",30045,6002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250034,"2022-09-15 08:39:53.45","#QCZ555",50.00,68.00,93.00,120.90,"2022-02-20","129298456","WH",4,,,,"","ALMA","QCZ555A1",30045,1002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250035,"2022-09-15 08:39:53.45","#QCZ556",50.00,68.00,93.00,120.90,"2022-02-20","129296301","WH",4,,,,"","ALMA","QCZ556A1",30045,4002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250036,"2022-09-15 08:39:53.45","#QCZ557",50.00,68.00,93.00,120.90,"2022-02-20","129298412","WH",4,,,,"","ALMA","QCZ557A1",30045,5002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250037,"2022-09-15 08:39:53.45","#QCZ558",50.00,68.00,93.00,120.90,"2022-02-20","129298445","WH",4,,,,"","ALMA","QCZ558A1",30045,6002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250038,"2022-09-15 08:39:53.45","#QCZ559",50.00,68.00,93.00,120.90,"2022-02-20","129298438","WH",4,,,,"","ALMA","QCZ559A1",30045,1002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
250039,"2022-09-15 08:39:53.45","#QCZ560",50.00,68.00,93.00,120.90,"2022-02-20","129298431","WH",4,,,,"","ALMA","QCZ560A1",30045,4002,"2022-02-20","2023-03-20","USD",93.00,100,"3XS:20|2XS:20|XS:20|S:10|M:10|L:10|XL:10"
