ACTION,OPTION ID,PO ID,MID CODE
ADD,142997173,500033423332,CNQINSAMQIN
ADD,138494325,500032317731,CNQINSAMQIN
ADD,141105685,500033059055,CNQINSAMQIN
ADD,139625651,500032654701,CNQINSAMQIN
ADD,142822848,500033387017,CNQINSAMQIN
ADD,133740460,500032441112,CNQINSAMQIN
ADD,142122008,500033245395,CNQINSAMQIN
ADD,141935946,500033220582,CNQINSAMQIN
ADD,139729218,500033206241,CNQINSAMQIN
ADD,141105720,500033059052,CNQINSAMQIN
ADD,139618690,500032652031,CNQINSAMQIN
ADD,141932388,500033216469,CNQINSAMQIN
ADD,139768948,500032695204,CNQINSAMQIN
ADD,133240377,500032507065,CNQINSAMQIN
ADD,139379884,500032598036,CNQINSAMQIN
ADD,136724226,500032126260,CNQINSAMQIN
ADD,139379825,500032597901,CNQINSAMQIN
ADD,141502882,500033133476,CNQINSAMQIN
ADD,142122023,500033245440,CNQINSAMQIN
ADD,140657808,500032926997,CNQINSAMQIN
ADD,140566849,500032900505,CNQINSAMQIN
ADD,140290954,500032838423,CNQINSAMQIN
ADD,141105682,500033059048,CNQINSAMQIN
ADD,142433563,500033327334,CNQINSAMQIN
ADD,139046288,500032490468,CNQINSAMQIN
ADD,141772476,500033191001,CNQINSAMQIN
ADD,139800060,500032711837,CNQINSAMQIN
ADD,142910360,500033403700,CNQINSAMQIN
ADD,142086947,500033265840,CNQINSAMQIN
ADD,142803907,500033373186,CNQINSAMQIN
ADD,142122034,500033245473,CNQINSAMQIN
ADD,135621141,500031413026,CNQINSAMQIN
ADD,141462140,500033118121,CNQINSAMQIN
ADD,139800061,500032711841,CNQINSAMQIN
ADD,140914939,500033021876,CNQINSAMQIN
ADD,141301834,500033090734,CNQINSAMQIN
ADD,141105672,500033059053,CNQINSAMQIN
ADD,142294880,500033282090,CNQINSAMQIN
ADD,139797452,500032708254,CNQINSAMQIN
ADD,139076013,500032501486,CNQINSAMQIN
ADD,139762809,500032688987,CNQINSAMQIN
ADD,138900762,500032441152,CNQINSAMQIN
ADD,142739805,500033364370,CNQINSAMQIN
ADD,141415143,500033115976,CNQINSAMQIN
ADD,138038056,500032245487,CNQINSAMQIN
ADD,139080969,500032507158,CNQINSAMQIN
ADD,142294682,500033281556,CNQINSAMQIN
ADD,139924245,500032739587,CNQINSAMQIN
ADD,128807360,500032296725,CNQINSAMQIN
ADD,142045931,500033229259,CNQINSAMQIN
ADD,142323791,500033291150,CNQINSAMQIN
ADD,140657668,500032926632,CNQINSAMQIN
ADD,140911544,500032996956,CNQINSAMQIN
ADD,142972198,500033413400,CNQINSAMQIN
ADD,142997162,500033423299,CNQINSAMQIN
ADD,141932356,500033216437,CNQINSAMQIN
ADD,142323178,500033290942,CNQINSAMQIN
ADD,140911560,500032997041,CNQINSAMQIN
ADD,142910370,500033403710,CNQINSAMQIN
ADD,138370109,500032602035,CNQINSAMQIN
ADD,140912708,500032998541,CNQINSAMQIN
ADD,134844293,500032926447,CNQINSAMQIN
ADD,119173706,500030991507,CNQINSAMQIN
ADD,142509596,500033331889,CNQINSAMQIN
ADD,141105675,500033059047,CNQINSAMQIN
ADD,140134921,500032791355,CNQINSAMQIN
ADD,142122010,500033245401,CNQINSAMQIN
ADD,141105676,500033059047,CNQINSAMQIN
ADD,139759391,500032686010,CNQINSAMQIN
ADD,133031997,500033166699,CNQINSAMQIN
ADD,139924247,500032737585,CNQINSAMQIN
ADD,142045940,500033229276,CNQINSAMQIN
ADD,141663709,500033165610,CNQINSAMQIN
ADD,140832579,500032974302,CNQINSAMQIN
ADD,140657698,500033130293,CNQINSAMQIN
ADD,142045933,500033229263,CNQINSAMQIN
ADD,141102703,500033053336,CNQINSAMQIN
ADD,142167416,500033255663,CNQINSAMQIN
ADD,139080948,500032507095,CNQINSAMQIN
ADD,142086456,500033231896,CNQINSAMQIN
ADD,142169269,500033257558,CNQINSAMQIN
ADD,134844355,500032926800,CNQINSAMQIN
ADD,142323174,500033290938,CNQINSAMQIN
ADD,142323945,500033291227,CNQINSAMQIN
ADD,142803911,500033373193,CNQINSAMQIN
ADD,141242612,500033075888,CNQINSAMQIN
ADD,140912709,500032998544,CNQINSAMQIN
ADD,142170047,500033257609,CNQINSAMQIN
ADD,140657642,500033102683,CNQINSAMQIN
ADD,140311831,500032846835,CNQINSAMQIN
ADD,141415113,500033115886,CNQINSAMQIN
ADD,141069034,500033335089,CNQINSAMQIN
ADD,140437064,500032877132,CNQINSAMQIN
ADD,142086466,500033231926,CNQINSAMQIN
ADD,139768945,500032694800,CNQINSAMQIN
ADD,139768927,500032695156,CNQINSAMQIN
ADD,138900754,500032441146,CNQINSAMQIN
ADD,141502875,500033133455,CNQINSAMQIN
ADD,140912711,500032998551,CNQINSAMQIN
ADD,141102990,500033059078,CNQINSAMQIN
ADD,133521796,500033231860,CNQINSAMQIN
ADD,136854678,500031936946,CNQINSAMQIN
ADD,135600557,500031960326,CNQINSAMQIN
ADD,139983752,500032752765,CNQINSAMQIN
ADD,134527088,500033337928,CNQINSAMQIN
ADD,139075901,500032501034,CNQINSAMQIN
ADD,142045939,500033229274,CNQINSAMQIN
ADD,139250698,500032556831,CNQINSAMQIN
ADD,142972674,500033413764,CNQINSAMQIN
ADD,139080949,500032507098,CNQINSAMQIN
ADD,141932354,500033216435,CNQINSAMQIN
ADD,142043566,500033227793,CNQINSAMQIN
ADD,133031730,500032928616,CNQINSAMQIN
ADD,142997168,500033423317,CNQINSAMQIN
ADD,141772477,500033191002,CNQINSAMQIN
ADD,142350193,500033300941,CNQINSAMQIN
ADD,138580450,500032349723,CNQINSAMQIN
ADD,141219167,500033067723,CNQINSAMQIN
ADD,141495999,500033127870,CNQINSAMQIN
ADD,128079740,500031691416,CNQINSAMQIN
ADD,139983752,500032747164,CNQINSAMQIN
ADD,142324225,500033291408,CNQINSAMQIN
ADD,140309666,500032843099,CNQINSAMQIN
ADD,139760956,500032688083,CNQINSAMQIN
ADD,141103019,500033059070,CNQINSAMQIN
ADD,141105702,500033140225,CNQINSAMQIN
ADD,140309652,500032843063,CNQINSAMQIN
ADD,133031740,500033166697,CNQINSAMQIN
ADD,140858921,500032982252,CNQINSAMQIN
ADD,139790447,500032700974,CNQINSAMQIN
ADD,139251863,500032723154,CNQINSAMQIN
ADD,139625652,500032654703,CNQINSAMQIN
ADD,141217983,500033066331,CNQINSAMQIN
ADD,135621131,500033457629,CNQINSAMQIN
ADD,139760965,500032688110,CNQINSAMQIN
ADD,140914112,500033001839,CNQINSAMQIN
ADD,142327807,500033295328,CNQINSAMQIN
ADD,140911544,500032996957,CNQINSAMQIN
ADD,139986267,500032749416,CNQINSAMQIN
ADD,139983755,500032747173,CNQINSAMQIN
ADD,141663701,500033165586,CNQINSAMQIN
ADD,139306530,500032578712,CNQINSAMQIN
ADD,140657816,500032927005,CNQINSAMQIN
ADD,141102995,500033059072,CNQINSAMQIN
ADD,142351549,500033303148,CNQINSAMQIN
ADD,139762810,500032688990,CNQINSAMQIN
ADD,140911557,500032997032,CNQINSAMQIN
ADD,141500311,500033137556,CNQINSAMQIN
ADD,138683314,500032372593,CNQINSAMQIN
ADD,139763535,500032690891,CNQINSAMQIN
ADD,141415110,500033115877,CNQINSAMQIN
ADD,139250700,500032556833,CNQINSAMQIN
ADD,142514161,500033337380,CNQINSAMQIN
ADD,142167430,500033255745,CNQINSAMQIN
ADD,139075994,500032501429,CNQINSAMQIN
ADD,139105005,500032512315,CNQINSAMQIN
ADD,142514184,500033337437,CNQINSAMQIN
ADD,141463715,500033119644,CNQINSAMQIN
ADD,139986266,500032749413,CNQINSAMQIN
ADD,141415111,500033115880,CNQINSAMQIN
ADD,142997178,500033423347,CNQINSAMQIN
ADD,140911559,500032997038,CNQINSAMQIN
ADD,140562718,500032899730,CNQINSAMQIN
ADD,142910341,500033403682,CNQINSAMQIN
ADD,141533128,500033146925,CNQINSAMQIN
ADD,142433582,500033327351,CNQINSAMQIN
ADD,140134296,500032790668,CNQINSAMQIN
ADD,141496004,500033127876,CNQINSAMQIN
ADD,142167435,500033255681,CNQINSAMQIN
ADD,139800065,500032711738,CNQINSAMQIN
ADD,140437062,500032877126,CNQINSAMQIN
ADD,133240360,500032507057,CNQINSAMQIN
ADD,139983748,500032747152,CNQINSAMQIN
ADD,141308136,500033101445,CNQINSAMQIN
ADD,140312136,500032847365,CNQINSAMQIN
ADD,135591371,500032898981,CNQINSAMQIN
ADD,139076080,500032501646,CNQINSAMQIN
ADD,142294680,500033281551,CNQINSAMQIN
ADD,141102693,500033053306,CNQINSAMQIN
ADD,141412597,500033523243,CNQINSAMQIN
ADD,142045935,500033229266,CNQINSAMQIN
ADD,142294888,500033282114,CNQINSAMQIN
ADD,139102326,500032511401,CNQINSAMQIN
ADD,141303105,500033091738,CNQINSAMQIN
ADD,139768934,500032695188,CNQINSAMQIN
ADD,140561863,500032898754,CNQINSAMQIN
ADD,139797449,500032708245,CNQINSAMQIN
ADD,140291554,500032838684,CNQINSAMQIN
ADD,142805737,500033373906,CNQINSAMQIN
ADD,139306521,500032578702,CNQINSAMQIN
ADD,142086954,500033265843,CNQINSAMQIN
ADD,140911554,500032997020,CNQINSAMQIN
ADD,142043564,500033227791,CNQINSAMQIN
ADD,141101851,500033051107,CNQINSAMQIN
ADD,140562740,500032899796,CNQINSAMQIN
ADD,140562752,500032899832,CNQINSAMQIN
ADD,140311179,500032845200,CNQINSAMQIN
ADD,142972203,500033413405,CNQINSAMQIN
ADD,139107121,500033106220,CNQINSAMQIN
ADD,139080957,500032507122,CNQINSAMQIN
ADD,141071935,500033258963,CNQINSAMQIN
ADD,140566876,500032900586,CNQINSAMQIN
ADD,141308152,500033101437,CNQINSAMQIN
ADD,141380160,500033103500,CNQINSAMQIN
ADD,140437076,500032877168,CNQINSAMQIN
ADD,142045934,500033229264,CNQINSAMQIN
ADD,137282723,500032086653,CNQINSAMQIN
ADD,133880360,500032722823,CNQINSAMQIN
ADD,138781401,500032400218,CNQINSAMQIN
ADD,139964156,500033286622,CNQINSAMQIN
ADD,139250043,500032722821,CNQINSAMQIN
ADD,139080986,500032507212,CNQINSAMQIN
ADD,135599363,500033102001,CNQINSAMQIN
ADD,142514191,500033337458,CNQINSAMQIN
ADD,137387187,500032113363,CNQINSAMQIN
ADD,138494337,500032317746,CNQINSAMQIN
